date_time,model,dataset,sequence,horizon,seed,mse,mae
2025-04-26 14:18:00.061029,NLinear,ETTh1,96,96,3664629611,0.39779577,0.403533
2025-04-26 14:18:40.073934,NLinear,ETTh1,96,96,29616477,0.3969478,0.4041761
2025-04-26 14:19:20.620699,NLinear,ETTh1,96,96,2934400309,0.3967321,0.4020038
2025-04-26 14:20:01.471857,NLinear,ETTh1,96,96,3663679676,0.39994946,0.4043017
2025-04-26 14:20:41.476136,NLinear,ETTh1,96,96,2653170624,0.3971515,0.40054795
2025-04-26 14:21:21.424623,NLinear,ETTh1,96,96,1717144972,0.39599624,0.4012009
2025-04-26 14:22:02.562843,NLinear,ETTh1,96,96,3802925187,0.39713722,0.40462106
2025-04-26 14:22:44.308289,NLinear,ETTh1,96,96,2928815995,0.39801085,0.402915
2025-04-26 14:23:24.220475,NLinear,ETTh1,96,96,2852914846,0.39420104,0.40028283
2025-04-26 14:24:05.291280,NLinear,ETTh1,96,96,3989692623,0.39596498,0.40257174
2025-04-26 14:24:46.065327,NLinear,ETTh1,96,96,1558099097,0.397933,0.40341157
2025-04-26 14:25:27.047613,NLinear,ETTh1,96,96,2229219544,0.40274635,0.4060323
2025-04-26 14:26:07.730944,NLinear,ETTh1,96,96,1496073244,0.39218745,0.3999702
2025-04-26 14:26:48.890327,NLinear,ETTh1,96,96,4100528942,0.39784434,0.4041823
2025-04-26 14:27:29.519628,NLinear,ETTh1,96,96,3105422517,0.39780432,0.40272138
2025-04-26 14:28:10.233004,NLinear,ETTh1,96,96,2116593738,0.39836177,0.40333498
2025-04-26 14:28:51.193065,NLinear,ETTh1,96,96,3203774568,0.39555237,0.40207157
2025-04-26 14:29:31.965299,NLinear,ETTh1,96,96,26449180,0.40523008,0.40982863
2025-04-26 14:30:12.633811,NLinear,ETTh1,96,96,2247932906,0.39479142,0.4020631
2025-04-26 14:30:54.574486,NLinear,ETTh1,96,96,1345797628,0.4035633,0.407124
2025-04-26 14:31:36.872865,NLinear,ETTh1,96,96,1297055094,0.39383572,0.4010862
2025-04-26 14:32:19.574374,NLinear,ETTh1,96,96,3388865413,0.40758213,0.41132545
2025-04-26 14:33:01.736355,NLinear,ETTh1,96,96,3441103961,0.40069455,0.4052479
2025-04-26 14:33:43.227721,NLinear,ETTh1,96,96,220129177,0.39458528,0.40274698
2025-04-26 14:34:25.055783,NLinear,ETTh1,96,96,636800229,0.39688697,0.4028717
2025-04-26 14:35:06.791773,NLinear,ETTh1,96,96,3340778380,0.40020245,0.40453756
2025-04-26 14:35:48.621107,NLinear,ETTh1,96,96,328826589,0.39878356,0.40342844
2025-04-26 14:36:30.710352,NLinear,ETTh1,96,96,2351080987,0.39778814,0.40121657
2025-04-26 14:37:12.797834,NLinear,ETTh1,96,96,2940668278,0.3973683,0.4020964
2025-04-26 14:37:55.004012,NLinear,ETTh1,96,96,1629467658,0.40201512,0.40649042
2025-04-26 14:38:37.210488,NLinear,ETTh1,96,96,1374552628,0.40298256,0.40723023
2025-04-26 14:39:19.491078,NLinear,ETTh1,96,96,2989496591,0.40056297,0.40378064
2025-04-26 14:40:01.563748,NLinear,ETTh1,96,96,1304254337,0.4010268,0.40470138
2025-04-26 14:40:43.530916,NLinear,ETTh1,96,96,1160869783,0.39801154,0.40050945
2025-04-26 14:41:25.889824,NLinear,ETTh1,96,96,1031290362,0.40152195,0.4063282
2025-04-26 14:42:08.605144,NLinear,ETTh1,96,96,2016501090,0.39472842,0.4015881
2025-04-26 14:42:50.753391,NLinear,ETTh1,96,96,1419135793,0.4005089,0.40457553
2025-04-26 14:43:33.145868,NLinear,ETTh1,96,96,328135459,0.39902842,0.40379027
2025-04-26 14:44:15.326705,NLinear,ETTh1,96,96,725062165,0.4000443,0.4055428
2025-04-26 14:44:57.520491,NLinear,ETTh1,96,96,698501779,0.4134182,0.41236535
2025-04-26 14:45:39.435121,NLinear,ETTh1,96,96,2916655170,0.3997716,0.40571445
2025-04-26 14:46:20.984470,NLinear,ETTh1,96,96,3309567839,0.40873906,0.41043538
2025-04-26 14:47:03.200328,NLinear,ETTh1,96,96,4282113189,0.39349055,0.39998448
2025-04-26 14:47:45.169441,NLinear,ETTh1,96,96,293153299,0.39596158,0.40047613
2025-04-26 14:48:27.116750,NLinear,ETTh1,96,96,2583227991,0.41411656,0.41419858
2025-04-26 14:49:09.713551,NLinear,ETTh1,96,96,2066139778,0.39379516,0.39969316
2025-04-26 14:49:51.694076,NLinear,ETTh1,96,96,3453933603,0.40226787,0.40619782
2025-04-26 14:50:33.996843,NLinear,ETTh1,96,96,3404249524,0.39941838,0.4035972
2025-04-26 14:51:16.275502,NLinear,ETTh1,96,96,3687309285,0.40682775,0.40971437
2025-04-26 14:51:58.429713,NLinear,ETTh1,96,96,713197558,0.3975813,0.40338588
2025-04-26 14:52:40.800993,NLinear,ETTh1,96,96,2549351489,0.40011325,0.40380144
2025-04-26 14:53:23.308115,NLinear,ETTh1,96,96,2409554458,0.40215892,0.40689737
2025-04-26 14:54:05.604153,NLinear,ETTh1,96,96,1459005201,0.39787653,0.40428826
2025-04-26 14:54:47.456541,NLinear,ETTh1,96,96,1051226056,0.40214884,0.4058058
2025-04-26 14:55:29.832908,NLinear,ETTh1,96,96,4119878508,0.3951363,0.40253899
2025-04-26 14:56:12.167684,NLinear,ETTh1,96,96,4291492387,0.40005443,0.40423992
2025-04-26 14:56:55.060347,NLinear,ETTh1,96,96,3140594418,0.39233387,0.40030935
2025-04-26 14:57:38.166039,NLinear,ETTh1,96,96,777109714,0.3971263,0.4030463
2025-04-26 14:58:21.129633,NLinear,ETTh1,96,96,1589216892,0.39586103,0.39951974
2025-04-26 14:59:03.500777,NLinear,ETTh1,96,96,296922354,0.39298534,0.39935273
2025-04-26 14:59:46.005100,NLinear,ETTh1,96,96,1127772217,0.40528715,0.4073788
2025-04-26 15:00:28.001654,NLinear,ETTh1,96,96,2586440573,0.41292623,0.4137943
