date_time,model,dataset,sequence,horizon,seed,mse,mae
2025-04-27 09:07:05.535781,iTransformer,ETTh1,96,96,3664629611,0.38830924,0.40517086
2025-04-27 09:16:04.058897,iTransformer,ETTh1,96,96,29616477,0.3870478,0.40508294
2025-04-27 09:25:03.078512,iTransformer,ETTh1,96,96,2934400309,0.38572237,0.40434316
2025-04-27 09:34:00.473722,iTransformer,ETTh1,96,96,3663679676,0.385952,0.4039769
2025-04-27 09:42:59.644824,iTransformer,ETTh1,96,96,2653170624,0.38996935,0.40682185
2025-04-27 09:51:56.774840,iTransformer,ETTh1,96,96,1717144972,0.386016,0.40528598
2025-04-27 10:00:54.750787,iTransformer,ETTh1,96,96,3802925187,0.38725853,0.40485454
2025-04-27 10:09:48.059447,iTransformer,ETTh1,96,96,2928815995,0.3857972,0.4041086
2025-04-27 10:18:44.520547,iTransformer,ETTh1,96,96,2852914846,0.3854726,0.40391544
2025-04-27 10:27:42.937897,iTransformer,ETTh1,96,96,3989692623,0.38515478,0.40351328
2025-04-27 10:36:38.867707,iTransformer,ETTh1,96,96,1558099097,0.38688073,0.404991
2025-04-27 10:45:35.363898,iTransformer,ETTh1,96,96,2229219544,0.3866188,0.4047177
2025-04-27 10:54:32.732013,iTransformer,ETTh1,96,96,1496073244,0.38812858,0.40587947
2025-04-27 11:03:30.517969,iTransformer,ETTh1,96,96,4100528942,0.38498494,0.4042047
2025-04-27 11:12:29.566363,iTransformer,ETTh1,96,96,3105422517,0.38607916,0.4050225
2025-04-27 11:21:26.745840,iTransformer,ETTh1,96,96,2116593738,0.38596398,0.40392995
2025-04-27 11:30:20.840746,iTransformer,ETTh1,96,96,3203774568,0.3871094,0.40509737
2025-04-27 11:39:15.424100,iTransformer,ETTh1,96,96,26449180,0.3853364,0.40469667
2025-04-27 11:48:07.315354,iTransformer,ETTh1,96,96,2247932906,0.38816333,0.40582308
2025-04-27 11:56:59.954517,iTransformer,ETTh1,96,96,1345797628,0.38969558,0.4069597
2025-04-27 12:05:54.554187,iTransformer,ETTh1,96,96,1297055094,0.39004493,0.40624335
2025-04-27 12:14:51.815390,iTransformer,ETTh1,96,96,3388865413,0.38621858,0.4044631
2025-04-27 12:23:46.060514,iTransformer,ETTh1,96,96,3441103961,0.38484627,0.40356755
2025-04-27 12:32:42.737383,iTransformer,ETTh1,96,96,220129177,0.3904142,0.4074796
2025-04-27 12:41:42.029163,iTransformer,ETTh1,96,96,636800229,0.38624752,0.40552872
