date_time,model,dataset,sequence,horizon,seed,mse,mae
2025-04-27 09:11:48.749172,iTransformer,ETTh1,96,96,3664629611,0.38827157,0.40510505
2025-04-27 09:20:45.358105,iTransformer,ETTh1,96,96,29616477,0.38704157,0.40505692
2025-04-27 09:29:42.506303,iTransformer,ETTh1,96,96,2934400309,0.38574693,0.4043497
2025-04-27 09:38:41.828777,iTransformer,ETTh1,96,96,3663679676,0.38592255,0.40395647
2025-04-27 09:47:40.882263,iTransformer,ETTh1,96,96,2653170624,0.389941,0.40678728
2025-04-27 09:56:38.498419,iTransformer,ETTh1,96,96,1717144972,0.38611472,0.4053074
2025-04-27 10:05:34.737437,iTransformer,ETTh1,96,96,3802925187,0.38723177,0.40482002
2025-04-27 10:14:28.880852,iTransformer,ETTh1,96,96,2928815995,0.38579595,0.4040879
2025-04-27 10:23:26.129347,iTransformer,ETTh1,96,96,2852914846,0.38546172,0.4038681
2025-04-27 10:32:22.532280,iTransformer,ETTh1,96,96,3989692623,0.38519284,0.4034965
2025-04-27 10:41:19.764115,iTransformer,ETTh1,96,96,1558099097,0.38686317,0.4049544
2025-04-27 10:50:16.365314,iTransformer,ETTh1,96,96,2229219544,0.38654944,0.40465966
2025-04-27 10:59:14.472070,iTransformer,ETTh1,96,96,1496073244,0.38820246,0.40590012
2025-04-27 11:08:12.447984,iTransformer,ETTh1,96,96,4100528942,0.38502577,0.40419593
2025-04-27 11:17:10.064499,iTransformer,ETTh1,96,96,3105422517,0.38608897,0.40498433
2025-04-27 11:26:04.605023,iTransformer,ETTh1,96,96,2116593738,0.3860152,0.4039523
2025-04-27 11:35:00.694671,iTransformer,ETTh1,96,96,3203774568,0.38705176,0.4050573
2025-04-27 11:43:53.230639,iTransformer,ETTh1,96,96,26449180,0.3852693,0.40461206
2025-04-27 11:52:44.502329,iTransformer,ETTh1,96,96,2247932906,0.38817292,0.4058033
2025-04-27 12:01:38.346178,iTransformer,ETTh1,96,96,1345797628,0.3896719,0.40693006
2025-04-27 12:10:35.862737,iTransformer,ETTh1,96,96,1297055094,0.39004683,0.40623975
2025-04-27 12:19:31.548616,iTransformer,ETTh1,96,96,3388865413,0.38624525,0.40444478
2025-04-27 12:28:26.345261,iTransformer,ETTh1,96,96,3441103961,0.38483697,0.40352106
2025-04-27 12:37:24.857635,iTransformer,ETTh1,96,96,220129177,0.39046314,0.40748605
2025-04-27 12:46:22.210771,iTransformer,ETTh1,96,96,636800229,0.38621467,0.40552363
2025-04-27 12:55:19.317658,iTransformer,ETTh1,96,96,3340778380,0.38787943,0.4066469
2025-04-27 13:04:16.808569,iTransformer,ETTh1,96,96,328826589,0.38590598,0.40431565
2025-04-27 13:13:14.278665,iTransformer,ETTh1,96,96,2351080987,0.38789082,0.40480492
2025-04-27 13:22:12.388781,iTransformer,ETTh1,96,96,2940668278,0.38927346,0.40649134
2025-04-27 13:31:11.313842,iTransformer,ETTh1,96,96,1629467658,0.38936788,0.40677348
2025-04-27 13:40:11.077792,iTransformer,ETTh1,96,96,1374552628,0.38958013,0.40621063
2025-04-27 13:49:06.139838,iTransformer,ETTh1,96,96,2989496591,0.3869636,0.40393764
2025-04-27 13:58:01.374335,iTransformer,ETTh1,96,96,1304254337,0.3890159,0.40567866
2025-04-27 14:06:57.768044,iTransformer,ETTh1,96,96,1160869783,0.38713607,0.4043872
2025-04-27 14:15:55.386795,iTransformer,ETTh1,96,96,1031290362,0.38535136,0.40396625
2025-04-27 14:24:52.114836,iTransformer,ETTh1,96,96,2016501090,0.38679823,0.40540284
2025-04-27 14:33:47.788619,iTransformer,ETTh1,96,96,1419135793,0.38897258,0.4065701
2025-04-27 14:42:40.621100,iTransformer,ETTh1,96,96,328135459,0.38464016,0.4032958
2025-04-27 14:51:38.379629,iTransformer,ETTh1,96,96,725062165,0.38646415,0.40504938
2025-04-27 15:00:37.364969,iTransformer,ETTh1,96,96,698501779,0.38662645,0.40427294
2025-04-27 15:09:31.568423,iTransformer,ETTh1,96,96,2916655170,0.38715532,0.40448686
2025-04-27 15:18:26.493112,iTransformer,ETTh1,96,96,3309567839,0.3854488,0.40399224
2025-04-27 15:27:21.500170,iTransformer,ETTh1,96,96,4282113189,0.388844,0.4056952
2025-04-27 15:36:16.681687,iTransformer,ETTh1,96,96,293153299,0.38603348,0.40508533
2025-04-27 15:45:09.643405,iTransformer,ETTh1,96,96,2583227991,0.38549832,0.40339437
2025-04-27 15:54:04.653517,iTransformer,ETTh1,96,96,2066139778,0.3862213,0.40382463
2025-04-27 16:02:59.726102,iTransformer,ETTh1,96,96,3453933603,0.38813567,0.4061832
2025-04-27 16:11:54.846279,iTransformer,ETTh1,96,96,3404249524,0.38773832,0.4056648
2025-04-27 16:20:52.798986,iTransformer,ETTh1,96,96,3687309285,0.38742965,0.4046033
2025-04-27 16:29:53.799292,iTransformer,ETTh1,96,96,713197558,0.38790143,0.40590674
2025-04-27 16:38:53.724234,iTransformer,ETTh1,96,96,2549351489,0.38623998,0.40437233
2025-04-27 16:47:51.266165,iTransformer,ETTh1,96,96,2409554458,0.3871142,0.40610248
2025-04-27 16:56:48.532084,iTransformer,ETTh1,96,96,1459005201,0.38760507,0.4055212
2025-04-27 17:05:45.403353,iTransformer,ETTh1,96,96,1051226056,0.38728446,0.40490827
2025-04-27 17:14:46.035830,iTransformer,ETTh1,96,96,4119878508,0.38898706,0.40599895
2025-04-27 17:23:42.606524,iTransformer,ETTh1,96,96,4291492387,0.3872922,0.40528196
2025-04-27 17:32:39.823116,iTransformer,ETTh1,96,96,3140594418,0.38603488,0.40474975
2025-04-27 17:41:39.729934,iTransformer,ETTh1,96,96,777109714,0.3852898,0.4041531
2025-04-27 17:50:33.818728,iTransformer,ETTh1,96,96,1589216892,0.3855006,0.40366024
2025-04-27 17:59:25.178999,iTransformer,ETTh1,96,96,296922354,0.3877412,0.40534815
2025-04-27 18:08:20.166299,iTransformer,ETTh1,96,96,1127772217,0.38721377,0.40462196
2025-04-27 18:17:13.398533,iTransformer,ETTh1,96,96,2586440573,0.38555446,0.40436223
2025-04-27 18:26:08.477125,iTransformer,ETTh1,96,96,2372266162,0.38825092,0.40516955
2025-04-27 18:35:04.987744,iTransformer,ETTh1,96,96,200427186,0.38629857,0.40524635
2025-04-27 18:44:00.451183,iTransformer,ETTh1,96,96,3665818909,0.38699037,0.4057096
2025-04-27 18:52:52.383149,iTransformer,ETTh1,96,96,1051311406,0.38490596,0.40373656
2025-04-27 19:01:49.065087,iTransformer,ETTh1,96,96,4194161626,0.38637233,0.40433687
2025-04-27 19:10:48.313009,iTransformer,ETTh1,96,96,2901435033,0.3863645,0.40513536
2025-04-27 19:19:46.653828,iTransformer,ETTh1,96,96,1027683409,0.38721287,0.4053839
2025-04-27 19:28:46.227851,iTransformer,ETTh1,96,96,2592753973,0.38940057,0.4070029
2025-04-27 19:37:42.681865,iTransformer,ETTh1,96,96,294477085,0.38913825,0.40617457
2025-04-27 19:46:39.563124,iTransformer,ETTh1,96,96,55673650,0.3875997,0.4059132
2025-04-27 19:55:35.666983,iTransformer,ETTh1,96,96,3226759639,0.38971174,0.40639505
2025-04-27 20:04:34.470942,iTransformer,ETTh1,96,96,3130688870,0.38574013,0.4039623
2025-04-27 20:13:31.196497,iTransformer,ETTh1,96,96,3126186108,0.3862847,0.40402067
2025-04-27 20:22:29.871323,iTransformer,ETTh1,96,96,3598909707,0.38603157,0.40295437
2025-04-27 20:31:25.587336,iTransformer,ETTh1,96,96,425796106,0.38697162,0.40473354
2025-04-27 20:40:24.160435,iTransformer,ETTh1,96,96,3442116543,0.3852746,0.4043501
2025-04-27 20:49:22.161856,iTransformer,ETTh1,96,96,2375403279,0.38778973,0.40586326
2025-04-27 20:58:19.951787,iTransformer,ETTh1,96,96,2324886708,0.3870826,0.4057518
2025-04-27 21:07:10.031688,iTransformer,ETTh1,96,96,3564953262,0.38921052,0.40615064
2025-04-27 21:16:05.375055,iTransformer,ETTh1,96,96,1214632149,0.38564044,0.40417415
2025-04-27 21:25:02.369125,iTransformer,ETTh1,96,96,162323494,0.3870201,0.40454227
