"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Chen J.; Lu Z.; Kang S.","Chen, Junzhuo (58960915200); Lu, Zonghan (58960277100); Kang, Shitong (58960915300)","58960915200; 58960277100; 58960915300","Monkeypox disease recognition model based on improved SE-InceptionV3","2024","Journal of Intelligent and Fuzzy Systems","46","4","","8811","8828","17","0","10.3233/JIFS-237232","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193700916&doi=10.3233%2fJIFS-237232&partnerID=40&md5=71f930da556c4d4a0638397278e77d5d","Article","Final","","Scopus","2-s2.0-85193700916"
"He J.; Huang Z.; Li Y.; Shi J.; Chen Y.; Jiang C.; Feng J.","He, Jing (59523493500); Huang, Zijun (58945715600); Li, Yunde (57941567100); Shi, Jiangfeng (59523380600); Chen, Yehang (57205423438); Jiang, Chengliang (58041525000); Feng, Jin (59522932400)","59523493500; 58945715600; 57941567100; 59523380600; 57205423438; 58041525000; 59522932400","Single-channel attention classification algorithm based on robust Kalman filtering and norm-constrained ELM","2024","Frontiers in Human Neuroscience","18","","1481493","","","","0","10.3389/fnhum.2024.1481493","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215672565&doi=10.3389%2ffnhum.2024.1481493&partnerID=40&md5=16451f2c72778017c4af826c8974b40d","Article","Final","","Scopus","2-s2.0-85215672565"
"Tanimu J.J.; Hamada M.; Hassan M.; Samson T.J.; Parah J.S.","Tanimu, Jesse Jeremiah (57437457600); Hamada, Mohamed (8365771800); Hassan, Mohammed (57188820564); Samson, Tsentob Joy (59379970600); Parah, Jane Simon (59379364700)","57437457600; 8365771800; 57188820564; 59379970600; 59379364700","A Regularized CNN Approach for Detecting Cervical Cancer","2024","AIP Conference Proceedings","3220","1","030002","","","","1","10.1063/5.0235521","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207212897&doi=10.1063%2f5.0235521&partnerID=40&md5=94013886f85b8d6496919ea29ca19fc0","Conference paper","Final","","Scopus","2-s2.0-85207212897"
"Elgammal A.T.; Magdy M.; Lashin M.","Elgammal, Abdullah T. (56319866800); Magdy, Mahmoud (57117745300); Lashin, Manar (56319752300)","56319866800; 57117745300; 56319752300","Learning complex nonlinear dynamics of a 3D translational parallel manipulator using neural network","2024","Heliyon","10","18","e37669","","","","0","10.1016/j.heliyon.2024.e37669","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203539825&doi=10.1016%2fj.heliyon.2024.e37669&partnerID=40&md5=ad24193de2f6a9752d691dc6e260cc5b","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85203539825"
"Lee J.; Kwon O.-S.; Ryu G.; Shin H.; Pak H.-N.","Lee, Jaehyung (59260793000); Kwon, Oh-Seok (57222562190); Ryu, Gayeon (58897275000); Shin, Hangsik (57490639200); Pak, Hui-Nam (7101865848)","59260793000; 57222562190; 58897275000; 57490639200; 7101865848","Atrial Fibrillation Identification Using CNNs Based on Genomic Data","2024","Journal of Electrical Engineering and Technology","19","6","","3645","3653","8","0","10.1007/s42835-024-01998-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201298274&doi=10.1007%2fs42835-024-01998-2&partnerID=40&md5=123d56b6d238f48173c41572ca7dd5bb","Article","Final","","Scopus","2-s2.0-85201298274"
"Liu K.; Kang M.; Li X.; Dai W.","Liu, Kang (58846699100); Kang, Mengtao (59488843900); Li, Xinyu (59352202100); Dai, Wenqing (59489275500)","58846699100; 59488843900; 59352202100; 59489275500","LHGCN: A Laminated Heterogeneous Graph Convolutional Network for Modeling User–Item Interaction in E-Commerce","2024","Symmetry","16","12","1695","","","","0","10.3390/sym16121695","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213217058&doi=10.3390%2fsym16121695&partnerID=40&md5=eb62b1ca03055df4f394878bbe783f1c","Article","Final","","Scopus","2-s2.0-85213217058"
"Zhao Y.; Zhang Z.; Wu N.; Zhang Z.; Xu X.","Zhao, Yun (35308262200); Zhang, Zixin (59309764800); Wu, Na (57204517338); Zhang, Zhang (59168862400); Xu, Xing (56707732700)","35308262200; 59309764800; 57204517338; 59168862400; 56707732700","MAFDE-DN4: Improved Few-shot plant disease classification method based on Deep Nearest Neighbor Neural Network","2024","Computers and Electronics in Agriculture","226","","109373","","","","0","10.1016/j.compag.2024.109373","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202822236&doi=10.1016%2fj.compag.2024.109373&partnerID=40&md5=f15c36b747d09c0d287ad569cf1af3e4","Article","Final","","Scopus","2-s2.0-85202822236"
"Dai M.; Sun W.; Miao H.","Dai, Min (36022288400); Sun, Wenjing (58547684400); Miao, Hong (35334778300)","36022288400; 58547684400; 35334778300","Identification of pepper pests and diseases based on lightweight CBAM—GoogLeNet; [基于轻量化 CBAM—GoogLeNet 的辣椒病虫害识别]","2025","Journal of Chinese Agricultural Mechanization","46","2","","224","229and252","229028","0","10.13733/j.jcam.issn.2095-5553.2025.02.033","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217448612&doi=10.13733%2fj.jcam.issn.2095-5553.2025.02.033&partnerID=40&md5=c1d52c0e6335851c29389608b276974e","Article","Final","","Scopus","2-s2.0-85217448612"
"Kiss R.; Szűcs G.","Kiss, Richárd (57920068900); Szűcs, Gábor (57202716087)","57920068900; 57202716087","Prediction Uncertainty and Node Usefulness in Shallow Unattributed Graph Neural Networks for Explainability","2024","2024 IEEE 3rd Conference on Information Technology and Data Science, CITDS 2024 - Proceedings","","","","","","","0","10.1109/CITDS62610.2024.10791349","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216406689&doi=10.1109%2fCITDS62610.2024.10791349&partnerID=40&md5=2c446c39b8d7d7033d5f77079a635dc0","Conference paper","Final","","Scopus","2-s2.0-85216406689"
"Che Z.; Peng C.; Liao T.W.; Wang J.","Che, Zhongyuan (58104791400); Peng, Chong (22935652400); Liao, T.W. (7102718917); Wang, Jikun (59449468700)","58104791400; 22935652400; 7102718917; 59449468700","Improving milling tool wear prediction through a hybrid NCA-SMA-GRU deep learning model","2024","Expert Systems with Applications","255","","124556","","","","7","10.1016/j.eswa.2024.124556","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197338505&doi=10.1016%2fj.eswa.2024.124556&partnerID=40&md5=951cab36131dac58a0cc99b203e3953e","Article","Final","","Scopus","2-s2.0-85197338505"
