"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Nam K.Y.; Park H.-W.; Lee Y.; Jung H.-Y.; Kang T.","Nam, Ki Yup (59595888300); Park, Hyun-Woong (59595257100); Lee, Yeongseop (59592782500); Jung, Hun-Young (59595888400); Kang, Taeseen (59593399100)","59595888300; 59595257100; 59592782500; 59595888400; 59593399100","Ensemble probabilistic quantization encoding for information preservation of numerical variables in convolutional neural networks","2025","Scientific reports","15","1","","5021","","","0","10.1038/s41598-025-89430-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218475499&doi=10.1038%2fs41598-025-89430-1&partnerID=40&md5=ce0c3f7362fb45865204504f21c148cd","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85218475499"
"Becker L.; Pracht P.; Sertdal P.; Uboreck J.; Bendel A.; Martin R.","Becker, Luca (57217225018); Pracht, Philip (59265317000); Sertdal, Peter (59549493600); Uboreck, Jil (59550175200); Bendel, Alexander (57218393247); Martin, Rainer (55689404200)","57217225018; 59265317000; 59549493600; 59550175200; 57218393247; 55689404200","Conditional Label Smoothing For LLM-Based Data Augmentation in Medical Text Classification","2024","Proceedings of 2024 IEEE Spoken Language Technology Workshop, SLT 2024","","","","833","840","7","0","10.1109/SLT61566.2024.10832347","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217441829&doi=10.1109%2fSLT61566.2024.10832347&partnerID=40&md5=47f807201f855fd8a471b68fc8efa312","Conference paper","Final","","Scopus","2-s2.0-85217441829"
"Maiti N.; Chawla R.; Quraishi A.; Soni M.; Rusho M.A.; Pande S.D.","Maiti, Niladri (57215721580); Chawla, Riddhi (57702146800); Quraishi, Aadam (58970508200); Soni, Mukesh (57202986134); Rusho, Maher Ali (59126288100); Pande, Sagar Dhanraj (57213160540)","57215721580; 57702146800; 58970508200; 57202986134; 59126288100; 57213160540","Generative Intelligence-Based Federated Learning Model for Brain Tumor Classification in Smart Health","2024","Generative Artificial Intelligence for Biomedical and Smart Health Informatics","","","","435","453","18","0","10.1002/9781394280735.ch22","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216007519&doi=10.1002%2f9781394280735.ch22&partnerID=40&md5=90e8b9a35dbff231bb236bd3147daf13","Book chapter","Final","","Scopus","2-s2.0-85216007519"
"Chen P.; Li W.; Tang Y.; Togo S.; Yokoi H.; Jiang Y.","Chen, Peiji (57217825312); Li, Wenyang (57205207860); Tang, Yifan (58672309300); Togo, Shunta (53878687100); Yokoi, Hiroshi (7201964047); Jiang, Yinlai (21742756100)","57217825312; 57205207860; 58672309300; 53878687100; 7201964047; 21742756100","Intra- and inter-channel deep convolutional neural network with dynamic label smoothing for multichannel biosignal analysis","2025","Neural Networks","183","","106960","","","","0","10.1016/j.neunet.2024.106960","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211033629&doi=10.1016%2fj.neunet.2024.106960&partnerID=40&md5=a480cfbeaf37e407718f846b67aaa3e5","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85211033629"
"Li X.; Zhang M.; Guo H.","Li, Xin (57205503391); Zhang, Meiling (59279286000); Guo, Hubo (59281365500)","57205503391; 59279286000; 59281365500","Dual-Path Fault Diagnosis of Small Sample for Mechanical Systems Based on Multiple Attention Mechanisms","2024","IEEE Access","12","","","114538","114551","13","0","10.1109/ACCESS.2024.3444828","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201612720&doi=10.1109%2fACCESS.2024.3444828&partnerID=40&md5=c48b44c5f415fccbaaa3b7168e1e659d","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85201612720"
"Ma Y.","Ma, Yexin (59308022900)","59308022900","CoFix: Advancing Semi-Supervised Learning with Noisy Label Mitigation Through Sample Selection and Consistent Regularization","2024","International Journal of Pattern Recognition and Artificial Intelligence","38","12","2452024","","","","0","10.1142/S0218001424520244","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202708331&doi=10.1142%2fS0218001424520244&partnerID=40&md5=dadd2ee881da2609f8bde40ca7cf4d41","Article","Final","","Scopus","2-s2.0-85202708331"
"Teng H.; Stoiber M.; Bar-Joseph Z.; Kingsford C.","Teng, Haotian (57204686403); Stoiber, Marcus (56166304900); Bar-Joseph, Ziv (6602265915); Kingsford, Carl (35611336100)","57204686403; 56166304900; 6602265915; 35611336100","Detecting m6A RNA modification from nanopore sequencing using a semisupervised learning framework","2024","Genome Research","34","11","","1987","1999","12","1","10.1101/gr.278960.124","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209732474&doi=10.1101%2fgr.278960.124&partnerID=40&md5=cd29c9d8b8a01cbbddcaa2d89fdbafe8","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85209732474"
"Wang Z.; Cheng Y.; Peng H.; Zhou H.; Wang Z.; Liu H.","Wang, Zhifei (59454391500); Cheng, Yige (59454391600); Peng, Hui (59453864600); Zhou, Huiqiang (59453467200); Wang, Zheng (59453730900); Liu, Hongquan (59453864700)","59454391500; 59454391600; 59453864600; 59453467200; 59453730900; 59453864700","In-Cabin Detection, Localization and Classification based on mmWave Radar with TinyML","2024","2024 21st European Radar Conference, EuRAD 2024","","","","392","395","3","0","10.23919/EuRAD61604.2024.10734950","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210889424&doi=10.23919%2fEuRAD61604.2024.10734950&partnerID=40&md5=738126b6d4506b6368ba9c12f049226a","Conference paper","Final","","Scopus","2-s2.0-85210889424"
"Yang F.; Peng D.","Yang, Fan (57226014045); Peng, Dunlu (8556510900)","57226014045; 8556510900","MVC-HGAT: multi-view contrastive hypergraph attention network for session-based recommendation","2025","Applied Intelligence","55","1","27","","","","0","10.1007/s10489-024-05877-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210247569&doi=10.1007%2fs10489-024-05877-1&partnerID=40&md5=53b209d00013d3bf978625fc55a0efad","Article","Final","","Scopus","2-s2.0-85210247569"
"Wang Q.; Zeng C.; He P.; Zhang H.; Yu X.","Wang, Qian (58605447600); Zeng, Cheng (35241638700); He, Peng (55416866700); Zhang, Haifeng (57366070800); Yu, Xinyan (58933511400)","58605447600; 35241638700; 55416866700; 57366070800; 58933511400","News Topic Text Classification Based on RoBERTa-RCNN and Attention Pooling; [基于RoBERTa-RCNN 和注意力池化的新闻主题文本分类]","2024","Journal of Zhengzhou University - Natural Science","56","2","","43","50","7","1","10.13705/j.issn.1671-6841.2022168","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187492397&doi=10.13705%2fj.issn.1671-6841.2022168&partnerID=40&md5=d0fa6f072101b1730f245386291bcdac","Article","Final","","Scopus","2-s2.0-85187492397"
"Guo X.; Yang Y.; Ye C.; Cai G.; Ma T.","Guo, Xutao (57214740038); Yang, Yanwu (57196195779); Ye, Chenfei (56369884700); Cai, Guoqing (57405548300); Ma, Ting (57194030386)","57214740038; 57196195779; 56369884700; 57405548300; 57194030386","CALSEG: IMPROVING CALIBRATION OF MEDICAL IMAGE SEGMENTATION VIA VARIATIONAL LABEL SMOOTHING","2024","ICASSP, IEEE International Conference on Acoustics, Speech and Signal Processing - Proceedings","","","","1601","1605","4","2","10.1109/ICASSP48485.2024.10446030","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195372992&doi=10.1109%2fICASSP48485.2024.10446030&partnerID=40&md5=9ed6564f95f26218bb06d2a89efec703","Conference paper","Final","","Scopus","2-s2.0-85195372992"
"Vijayan M.; Prasad D.K.; Srinivasan V.","Vijayan, Midhula (58122462100); Prasad, Deepthi Keshav (57204111003); Srinivasan, Venkatakrishnan (59118800200)","58122462100; 57204111003; 59118800200","Advancing Glaucoma Diagnosis: Employing Confidence-Calibrated Label Smoothing Loss for Model Calibration","2024","Ophthalmology Science","4","6","100555","","","","1","10.1016/j.xops.2024.100555","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201374461&doi=10.1016%2fj.xops.2024.100555&partnerID=40&md5=97f2e08d78d734254733114c55861724","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85201374461"
"Jiang L.; Zhu S.; Sun N.","Jiang, Liang (58848200100); Zhu, Sicheng (59173751100); Sun, Ning (58278318800)","58848200100; 59173751100; 58278318800","An Improved Lightweight Variant of EfficientNetV2 Coupled With Sensor Fusion and Transfer Learning Techniques for Motor Fault Diagnosis","2024","IEEE Access","12","","","84470","84487","17","0","10.1109/ACCESS.2024.3412050","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196069817&doi=10.1109%2fACCESS.2024.3412050&partnerID=40&md5=45357036fe54d857d1c9fbf88f1f2cbe","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85196069817"
"Sun H.; Zhu W.","Sun, Haibin (57207025120); Zhu, Weilong (59228113800)","57207025120; 59228113800","A new cross-domain approach for bearing fault diagnosis based on multiscale convolutional networks and adversarial subdomain adaptation","2025","Nondestructive Testing and Evaluation","","","","","","","0","10.1080/10589759.2025.2452364","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216177863&doi=10.1080%2f10589759.2025.2452364&partnerID=40&md5=e3fa8181601c35ae70c37eb6c2316381","Article","Article in press","","Scopus","2-s2.0-85216177863"
"Liu L.; Wang Y.; Peng J.; Zhang L.","Liu, Li (57202047220); Wang, Yuebin (55986579100); Peng, Junhuan (12785442100); Zhang, Liqiang (36064917000)","57202047220; 55986579100; 12785442100; 36064917000","GLR-CNN: CNN-Based Framework With Global Latent Relationship Embedding for High-Resolution Remote Sensing Image Scene Classification","2024","IEEE Transactions on Geoscience and Remote Sensing","62","","5633913","","","","5","10.1109/TGRS.2024.3434452","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200207410&doi=10.1109%2fTGRS.2024.3434452&partnerID=40&md5=99742e04cbf43918babea578f9cee190","Article","Final","","Scopus","2-s2.0-85200207410"
"Murugesan B.; Adiga Vasudeva S.; Liu B.; Lombaert H.; Ben Ayed I.; Dolz J.","Murugesan, Balamurali (57203838554); Adiga Vasudeva, Sukesh (57219751851); Liu, Bingyuan (57223910012); Lombaert, Herve (36350957600); Ben Ayed, Ismail (55663476500); Dolz, Jose (56578010400)","57203838554; 57219751851; 57223910012; 36350957600; 55663476500; 56578010400","Neighbor-aware calibration of segmentation networks with penalty-based constraints","2025","Medical Image Analysis","101","","103501","","","","0","10.1016/j.media.2025.103501","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217960784&doi=10.1016%2fj.media.2025.103501&partnerID=40&md5=c47423e9e852db12c2588a4fcb0ebd68","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85217960784"
"Chang Q.; Zheng S.-Q.; Deng Y.-S.; Tang X.-Q.","Chang, Qing (57939839100); Zheng, Shi-Qi (55446613400); Deng, Yu-Shu (57876485300); Tang, Xiao-Qi (7404101733)","57939839100; 55446613400; 57876485300; 7404101733","Detection method of bamboo sheets based on improved ResNet50 and transfer learning; [基于改进ResNet50和迁移学习的竹片表面缺陷检测方法]","2025","Kongzhi yu Juece/Control and Decision","40","2","","432","440","8","0","10.13195/j.kzyjc.2023.1783","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214472046&doi=10.13195%2fj.kzyjc.2023.1783&partnerID=40&md5=cdf4e437e33d4c6d53c53a9077064fea","Article","Final","","Scopus","2-s2.0-85214472046"
"Chen P.; Li D.; Tang Y.; Togo S.; Yokoi H.; Jiang Y.","Chen, Peiji (57217825312); Li, Dian (59163190000); Tang, Yifan (58672309300); Togo, Shunta (53878687100); Yokoi, Hiroshi (7201964047); Jiang, Yinlai (21742756100)","57217825312; 59163190000; 58672309300; 53878687100; 7201964047; 21742756100","DYNAMIC LABEL SMOOTHING STRATEGY FOR BIOSIGNAL CLASSIFICATION","2024","ICASSP, IEEE International Conference on Acoustics, Speech and Signal Processing - Proceedings","","","","1556","1560","4","0","10.1109/ICASSP48485.2024.10446938","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195370739&doi=10.1109%2fICASSP48485.2024.10446938&partnerID=40&md5=6ddc40e3345fd9036b2f8c50db49918f","Conference paper","Final","","Scopus","2-s2.0-85195370739"
