"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Yeom T.; Gu C.; Lee M.","Yeom, Taesun (58145753100); Gu, Chanhoe (58930801700); Lee, Minhyeok (57194701375)","58145753100; 58930801700; 57194701375","DuDGAN: Improving Class-Conditional GANs via Dual-Diffusion","2024","IEEE Access","12","","10458911","39651","39661","10","5","10.1109/ACCESS.2024.3372996","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187392958&doi=10.1109%2fACCESS.2024.3372996&partnerID=40&md5=8f2b94faa3bae8a8fbe73801e9051018","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85187392958"
"Mao K.; Luo Y.; Ren Y.; Wang R.","Mao, Keming (35435711500); Luo, Yong (57218796399); Ren, Yitao (57907546700); Wang, Ruixiang (57942397400)","35435711500; 57218796399; 57907546700; 57942397400","Prototype Representation Expansion in Incremental Learning","2023","Neural Processing Letters","55","6","","8401","8417","16","2","10.1007/s11063-023-11317-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163744216&doi=10.1007%2fs11063-023-11317-x&partnerID=40&md5=62f3e808cff02890f3c55c81c0ba8ce6","Article","Final","","Scopus","2-s2.0-85163744216"
"Tran-Ngoc H.; Nguyen-Huu Q.; Nguyen-Chi T.; Bui-Tien T.","Tran-Ngoc, Hoa (57204859146); Nguyen-Huu, Quyet (57388566000); Nguyen-Chi, Thanh (59211449200); Bui-Tien, Thanh (59157764300)","57204859146; 57388566000; 59211449200; 59157764300","Enhancing damage detection in truss bridges through structural stiffness reduction using 1DCNN, BiLSTM, and data augmentation techniques","2024","Structures","68","","107035","","","","0","10.1016/j.istruc.2024.107035","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201097335&doi=10.1016%2fj.istruc.2024.107035&partnerID=40&md5=eee7ae8fb19176e7381a1b6a2ed79533","Article","Final","","Scopus","2-s2.0-85201097335"
"Kuang Z.; Bi H.; Li F.; Xu C.; Sun J.","Kuang, Zuzheng (58736421100); Bi, Haixia (56647583300); Li, Fan (55737186600); Xu, Chen (57118508800); Sun, Jian (57650520100)","58736421100; 56647583300; 55737186600; 57118508800; 57650520100","Polarimetry-Inspired Contrastive Learning for Class-Imbalanced PolSAR Image Classification","2024","IEEE Transactions on Geoscience and Remote Sensing","62","","5212819","1","19","18","8","10.1109/TGRS.2024.3403100","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194106756&doi=10.1109%2fTGRS.2024.3403100&partnerID=40&md5=c4362ed1227038d5defd3da1847d6bf9","Article","Final","","Scopus","2-s2.0-85194106756"
"Kim G.I.; Chung K.","Kim, Gyu Il (57933208800); Chung, Kyungyong (25927027500)","57933208800; 25927027500","Extraction of Features for Time Series Classification Using Noise Injection","2024","Sensors","24","19","6402","","","","0","10.3390/s24196402","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206348127&doi=10.3390%2fs24196402&partnerID=40&md5=ec8a4e620dc7461fb6bf45f7e37a487d","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85206348127"
"Herong W.; Yingyi C.; Yingqian C.; Ling X.; Huihui Y.","Herong, Wang (58859717400); Yingyi, Chen (24079892700); Yingqian, Chai (58859717500); Ling, Xu (59028328500); Huihui, Yu (55934197600)","58859717400; 24079892700; 58859717500; 59028328500; 55934197600","Image Segmentation Method Combined with VoVNetv2 and Shuffle Attention Mechanism for Fish Feeding in Aquaculture; [融合 VoVNetv2 和置换注意力机制的鱼群摄食图像分割方法]","2023","Smart Agriculture","5","4","","137","149","12","1","10.12133/j.smartag.SA202310003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183922965&doi=10.12133%2fj.smartag.SA202310003&partnerID=40&md5=e2d694d9e3c5df527a6585e298b703a5","Article","Final","","Scopus","2-s2.0-85183922965"
"Esheh J.; Affes S.","Esheh, Jehan (58846281500); Affes, Sofiene (7003384623)","58846281500; 7003384623","Noise Injection into Anchor for Improving Deep Neural Networks for Localization in WSNs for Internet of Things","2024","1st International Conference on Computing, Internet of Things and Microwave Systems, ICCIMS 2024","","","","","","","0","10.1109/ICCIMS61672.2024.10690560","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206602943&doi=10.1109%2fICCIMS61672.2024.10690560&partnerID=40&md5=60166e890fe81d8dfadaa2366d44aa99","Conference paper","Final","","Scopus","2-s2.0-85206602943"
"Ye N.; Cao L.; Yang L.; Zhang Z.; Fang Z.; Gu Q.; Yang G.-Z.","Ye, Nanyang (57202057254); Cao, Linfeng (57220181603); Yang, Liujia (58960463200); Zhang, Ziqing (57346137800); Fang, Zhicheng (59042979900); Gu, Qinying (58778868900); Yang, Guang-Zhong (57211728432)","57202057254; 57220181603; 58960463200; 57346137800; 59042979900; 58778868900; 57211728432","Improving the robustness of analog deep neural networks through a Bayes-optimized noise injection approach","2023","Communications Engineering","2","1","25","","","","18","10.1038/s44172-023-00074-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167934230&doi=10.1038%2fs44172-023-00074-3&partnerID=40&md5=dc97e069df1405df70f2cc95335c6e45","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85167934230"
"Qiu Z.; Wang W.; Jin X.; Wang F.; He Z.; Ji J.; Jin S.","Qiu, Zhaomei (16204311400); Wang, Weili (59198798800); Jin, Xin (56909205300); Wang, Fei (58308836600); He, Zhitao (56081679200); Ji, Jiangtao (55186200600); Jin, Shanshan (58307524200)","16204311400; 59198798800; 56909205300; 58308836600; 56081679200; 55186200600; 58307524200","DCS-YOLOv5s: A Lightweight Algorithm for Multi-Target Recognition of Potato Seed Potatoes Based on YOLOv5s","2024","Agronomy","14","11","2558","","","","1","10.3390/agronomy14112558","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210301609&doi=10.3390%2fagronomy14112558&partnerID=40&md5=38021564014e8fe0dfe392e061a077ff","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85210301609"
"Yang S.; Gao J.; Yuan Y.; Zhou J.; Meng L.","Yang, Shuai (57215371384); Gao, Jianxiong (56642146300); Yuan, Yiping (10044569000); Zhou, Jianxing (14009073500); Meng, Lingchao (59090425200)","57215371384; 56642146300; 10044569000; 14009073500; 59090425200","Prediction of Wind Turbine Blade Stiffness Degradation Based on Improved Neural Basis Expansion Analysis","2025","Applied Sciences (Switzerland)","15","4","1884","","","","0","10.3390/app15041884","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218468726&doi=10.3390%2fapp15041884&partnerID=40&md5=e6b4ef010b3fef6ccad7b6ebc4b80c1a","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85218468726"
