"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Feng T.; Hu T.; Liu W.; Zhang Y.","Feng, Tianyu (58773148400); Hu, Tao (58771232400); Liu, Wenyu (57254074000); Zhang, Yang (58610670400)","58773148400; 58771232400; 57254074000; 58610670400","Enhancer Recognition: A Transformer Encoder-Based Method with WGAN-GP for Data Augmentation","2023","International Journal of Molecular Sciences","24","24","17548","","","","0","10.3390/ijms242417548","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180258431&doi=10.3390%2fijms242417548&partnerID=40&md5=890507b77fe5301905f96b9b0bd9679d","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85180258431"
"Alabboud M.; Kalantari S.; Soltani F.","Alabboud, Michael (57217147066); Kalantari, Siamak (26635201000); Soltani, Forouzandeh (15760858400)","57217147066; 26635201000; 15760858400","Novel models to predict stored melon fruit marketability using convolutional neural networks","2023","Journal of Ambient Intelligence and Humanized Computing","14","9","","11863","11871","8","2","10.1007/s12652-022-03741-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125545159&doi=10.1007%2fs12652-022-03741-z&partnerID=40&md5=0c6fcdb6b9904fabf0c4c48eb07a36c8","Article","Final","","Scopus","2-s2.0-85125545159"
"Ramezanlou M.T.; Schwartz H.; Lambadaris I.; Barbeau M.","Ramezanlou, Mohammad Tayefe (57202750920); Schwartz, Howard (7202896312); Lambadaris, Ioannis (35594594300); Barbeau, Michel (7004217820)","57202750920; 7202896312; 35594594300; 7004217820","Enhancing cooperative multi-agent reinforcement learning through the integration of R-STDP and federated learning","2025","Neurocomputing","617","","129005","","","","0","10.1016/j.neucom.2024.129005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211045454&doi=10.1016%2fj.neucom.2024.129005&partnerID=40&md5=6390e6097d4327b95d833e2ec5caf686","Article","Final","","Scopus","2-s2.0-85211045454"
"Jia X.; Feng X.; Yong H.; Meng D.","Jia, Xixi (56108670600); Feng, Xiangchu (7403047090); Yong, Hongwei (57191072490); Meng, Deyu (23393058400)","56108670600; 7403047090; 57191072490; 23393058400","Weight Decay With Tailored Adam on Scale-Invariant Weights for Better Generalization","2024","IEEE Transactions on Neural Networks and Learning Systems","35","5","","6936","6947","11","11","10.1109/TNNLS.2022.3213536","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141537961&doi=10.1109%2fTNNLS.2022.3213536&partnerID=40&md5=5a0f86ada5cf17ef386eda1af009142d","Article","Final","","Scopus","2-s2.0-85141537961"
"Wang J.; Li P.; Liu Y.; Xiong X.; Zhang Y.; Lv Z.","Wang, Jinlong (55993589600); Li, Pengjun (58966434900); Liu, Yingmin (58966330800); Xiong, Xiaoyun (57902193400); Zhang, Yuanyuan (57214253422); Lv, Zhihan (59463873000)","55993589600; 58966434900; 58966330800; 57902193400; 57214253422; 59463873000","Risk identification of listed companies violation by integrating knowledge graph and multi-source risk factors","2025","Engineering Applications of Artificial Intelligence","141","","109774","","","","0","10.1016/j.engappai.2024.109774","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211354225&doi=10.1016%2fj.engappai.2024.109774&partnerID=40&md5=1eecaa46fbb4d4b78a173585219ac2b7","Article","Final","","Scopus","2-s2.0-85211354225"
"Singhal R.; Saraswat V.; Deshmukh S.; Subramoney S.; Somappa L.; Baghini M.S.; Ganguly U.","Singhal, Raghav (58442744800); Saraswat, Vivek (57219876770); Deshmukh, Shreyas (57772934400); Subramoney, Sreenivas (56004939300); Somappa, Laxmeesha (57214599405); Baghini, Maryam Shojaei (9635357300); Ganguly, Udayan (7005142369)","58442744800; 57219876770; 57772934400; 56004939300; 57214599405; 9635357300; 7005142369","Enhanced regularization for on-chip training using analog and temporary memory weights","2023","Neural Networks","165","","","1050","1057","7","0","10.1016/j.neunet.2023.07.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165225248&doi=10.1016%2fj.neunet.2023.07.001&partnerID=40&md5=035fa354f5c5c539f4b39de2e1245463","Article","Final","","Scopus","2-s2.0-85165225248"
"Ruan S.; Han S.; Zhang N.; Gu Q.; Lu C.","Ruan, Shunling (53878458600); Han, Simiao (58108119500); Zhang, Ningning (58684229700); Gu, Qinghua (35291976500); Lu, Caiwu (35148313200)","53878458600; 58108119500; 58684229700; 35291976500; 35148313200","Prediction method of saturation line of tailings dam based on CNN-aGRU fusion mode; [基于 CNN-aGRU 融合模型的尾矿坝浸润线预测方法]","2023","China Safety Science Journal","33","","","119","127","8","2","10.16265/j.cnki.issn1003-3033.2023.S1.2481","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175984425&doi=10.16265%2fj.cnki.issn1003-3033.2023.S1.2481&partnerID=40&md5=e110605bb8a6fadbeb7ca7976f31b459","Article","Final","","Scopus","2-s2.0-85175984425"
"Baik S.; Choi M.; Choi J.; Kim H.; Lee K.M.","Baik, Sungyong (57216368459); Choi, Myungsub (57204394822); Choi, Janghoon (57202773325); Kim, Heewon (57195937107); Lee, Kyoung Mu (26642943400)","57216368459; 57204394822; 57202773325; 57195937107; 26642943400","Learning to Learn Task-Adaptive Hyperparameters for Few-Shot Learning","2024","IEEE Transactions on Pattern Analysis and Machine Intelligence","46","3","","1441","1454","13","13","10.1109/TPAMI.2023.3261387","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151570545&doi=10.1109%2fTPAMI.2023.3261387&partnerID=40&md5=ed83d26707a8f25a2b1fb754186f2d53","Article","Final","","Scopus","2-s2.0-85151570545"
"Li Z.; Wang Y.; Wang Z.","Li, Zhiyuan (58912981800); Wang, Yi (44761676100); Wang, Zhiren (47562101000)","58912981800; 44761676100; 47562101000","FAST EQUILIBRIUM OF SGD IN GENERIC SITUATIONS","2024","12th International Conference on Learning Representations, ICLR 2024","","","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200534772&partnerID=40&md5=4ee296a677dafc1d246112af1ae29206","Conference paper","Final","","Scopus","2-s2.0-85200534772"
"Yang K.; Kim S.; Harley J.B.","Yang, Kang (57703633600); Kim, Sungwon (56927094100); Harley, Joel B. (36117612000)","57703633600; 56927094100; 36117612000","Unsupervised long-term damage detection in an uncontrolled environment through optimal autoencoder","2023","Mechanical Systems and Signal Processing","199","","110473","","","","17","10.1016/j.ymssp.2023.110473","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163054328&doi=10.1016%2fj.ymssp.2023.110473&partnerID=40&md5=78679152a94f624d74fac913d1cd66fc","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85163054328"
