"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Vieira F.; Campos C.A.V.","Vieira, Flávio (58916359500); Campos, Carlos Alberto V. (57202639290)","58916359500; 57202639290","Exploring Normalization for High Convergence on Federated Learning for Drones","2024","Journal of the Brazilian Computer Society","30","1","","496","508","12","0","10.5753/jbcs.2024.4133","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208287468&doi=10.5753%2fjbcs.2024.4133&partnerID=40&md5=2fd68c72e915848fe0e2b5889b8da50e","Article","Final","","Scopus","2-s2.0-85208287468"
"Kafaf D.A.L.; Thamir N.N.; Al-Hadithy S.S.","Kafaf, Dhrgam A. L. (57194713771); Thamir, Noor N. (57226713718); Al-Hadithy, Samara S. (58184147300)","57194713771; 57226713718; 58184147300","MALARIA DISEASE PREDICTION BASED ON CONVOLUTIONAL NEURAL NETWORKS","2024","Journal of Applied Engineering and Technological Science","5","2","","1165","1181","16","0","10.37385/jaets.v5i2.3947","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196396708&doi=10.37385%2fjaets.v5i2.3947&partnerID=40&md5=08a118952627c79626edd5bef3413a9e","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85196396708"
"Shiney S.A.; Seetharaman R.; Sharmila V.J.; Prathiba S.","Shiney, S. Arumai (58070613700); Seetharaman, R. (35099352800); Sharmila, V.J. (57354754600); Prathiba, S. (59333086500)","58070613700; 35099352800; 57354754600; 59333086500","Deep learning based gasket fault detection: a CNN approach","2025","Scientific Reports","15","1","4776","","","","0","10.1038/s41598-025-85223-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218214403&doi=10.1038%2fs41598-025-85223-8&partnerID=40&md5=01682c4c65fd4a59c06fa199bf1e9027","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85218214403"
"Sodeinde O.R.; Koch M.; Moaveni B.; Baise L.G.","Sodeinde, Olalekan R. (59118839800); Koch, Magaly (58865628100); Moaveni, Babak (6508097192); Baise, Laurie G. (6507566653)","59118839800; 58865628100; 6508097192; 6507566653","One versus all: identifiability with a multi-hazard and multiclass building damage imagery dataset and a deep learning neural network","2024","Natural Hazards","120","9","","8337","8366","29","3","10.1007/s11069-024-06500-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192738887&doi=10.1007%2fs11069-024-06500-9&partnerID=40&md5=b5deaff8c3525fa97e73035ab10ffbd1","Article","Final","","Scopus","2-s2.0-85192738887"
"Sagar N.; Suresh K.P.; Sridhara S.; Patil B.; Archana C.A.; Sekar Y.S.; Naveesh Y.B.; Nandan A.S.; Sushma R.","Sagar, N. (58660085200); Suresh, K.P. (57217658013); Sridhara, Shankarappa (7005352874); Patil, Balanagouda (57673357400); Archana, C.A. (59005282400); Sekar, Yamini Sri (59005562200); Naveesh, Y.B. (57218855645); Nandan, A.S. (59287705900); Sushma, R. (59562282000)","58660085200; 57217658013; 7005352874; 57673357400; 59005282400; 59005562200; 57218855645; 59287705900; 59562282000","Precision detection of grapevine downy and powdery mildew diseased leaves and fruits using enhanced ResNet50 with batch normalization","2025","Computers and Electronics in Agriculture","232","","110144","","","","0","10.1016/j.compag.2025.110144","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218077646&doi=10.1016%2fj.compag.2025.110144&partnerID=40&md5=4213c99a4eff5f5d56d1f730df3ba6a4","Article","Final","","Scopus","2-s2.0-85218077646"
"Wan Y.; Diao S.; Jiang G.; Song C.","Wan, Yajie (59363189600); Diao, Su (59362799600); Jiang, Gaozhe (59461937200); Song, Chaoda (57226884635)","59363189600; 59362799600; 59461937200; 57226884635","Research on Tumor Images Segmentation based on Improved Convolutional Neural Network","2025","Proceedings of 2024 5th International Symposium on Artificial Intelligence for Medicine Science, ISAIMS 2024","","","","46","51","5","0","10.1145/3706890.3706898","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217797498&doi=10.1145%2f3706890.3706898&partnerID=40&md5=c6cc7a7ce775768b04ddb7254c687546","Conference paper","Final","","Scopus","2-s2.0-85217797498"
"Zhao C.; Song J.; Yuan Y.; Chu Y.-H.; Hsu Y.-C.; Huang Q.","Zhao, Chen (58734706400); Song, Jianping (37075873100); Yuan, Yifan (57224222919); Chu, Ying-Hua (59549738800); Hsu, Yi-Cheng (58036341700); Huang, Qiu (35435256100)","58734706400; 37075873100; 57224222919; 59549738800; 58036341700; 35435256100","An improved attention module based on nnU-Net for segmenting primary central nervous system lymphoma (PCNSL) in MRI images","2024","Journal of X-Ray Science and Technology","32","4","","993","1009","16","0","10.3233/XST-240016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201438545&doi=10.3233%2fXST-240016&partnerID=40&md5=9020ac95a573e95749629e9bd65c4a12","Article","Final","","Scopus","2-s2.0-85201438545"
"Torkey H.; Abdelnabi A.M.; El-Bahnasawy N.A.","Torkey, Hanaa (57220251815); Abdelnabi, Amira M. (59327499600); El-Bahnasawy, Nirmeen A. (57193137667)","57220251815; 59327499600; 57193137667","An Enhanced Deep Learning Model for MRI Image Classifications","2024","Menoufia Journal of Electronic Engineering Research","33","2","","32","40","8","0","10.21608/mjeer.2024.275185.1090","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203902176&doi=10.21608%2fmjeer.2024.275185.1090&partnerID=40&md5=0eca316dcecf9bc9f24dbd4cf411ff3c","Article","Final","","Scopus","2-s2.0-85203902176"
"Radočaj P.; Radočaj D.; Martinović G.","Radočaj, Petra (58788088500); Radočaj, Dorijan (57212464809); Martinović, Goran (6506080275)","58788088500; 57212464809; 6506080275","Image-Based Leaf Disease Recognition Using Transfer Deep Learning with a Novel Versatile Optimization Module","2024","Big Data and Cognitive Computing","8","6","52","","","","6","10.3390/bdcc8060052","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197196343&doi=10.3390%2fbdcc8060052&partnerID=40&md5=2761dff2d19ea9c8a66d423f4cf90657","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85197196343"
"Akhtar S.; Aftab S.; Ali O.; Ahmad M.; Khan M.A.; Abbas S.; Ghazal T.M.","Akhtar, Samia (59155648300); Aftab, Shabib (57202829701); Ali, Oualid (59423676100); Ahmad, Munir (57226132376); Khan, Muhammad Adnan (57226797214); Abbas, Sagheer (57202833192); Ghazal, Taher M. (57224545303)","59155648300; 57202829701; 59423676100; 57226132376; 57226797214; 57202833192; 57224545303","A deep learning based model for diabetic retinopathy grading","2025","Scientific Reports","15","1","3763","","","","0","10.1038/s41598-025-87171-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217357166&doi=10.1038%2fs41598-025-87171-9&partnerID=40&md5=fecd9b5f818f328ac5a37508019bb61a","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85217357166"
