"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Ravikumar A.; Sriraman H.; Chadha C.; Kumar Chattu V.","Ravikumar, Aswathy (56045074100); Sriraman, Harini (57193768349); Chadha, Chandan (59185559500); Kumar Chattu, Vijay (55743746500)","56045074100; 57193768349; 59185559500; 55743746500","Alleviation of Health Data Poverty for Skin Lesions Using ACGAN: Systematic Review","2024","IEEE Access","12","","","122702","122723","21","0","10.1109/ACCESS.2024.3417176","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196719891&doi=10.1109%2fACCESS.2024.3417176&partnerID=40&md5=1e99946b9242cb253e3a8e452af8c488","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85196719891"
"Cahapin E.; Fajardo A.","Cahapin, Erwin (57951646700); Fajardo, Arnel (57202941004)","57951646700; 57202941004","Fine-Tuning ResNet50 for Land Use and Land Cover Classification in the Philippines","2024","2024 International Conference on Emerging Smart Computing and Informatics, ESCI 2024","","","","","","","0","10.1109/ESCI59607.2024.10497219","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191747703&doi=10.1109%2fESCI59607.2024.10497219&partnerID=40&md5=392e444c96285d124a21c3e43f6e45a8","Conference paper","Final","","Scopus","2-s2.0-85191747703"
"Sequia K.; Nascimento F.; Santiago A.G.","Sequia, Karina (58805661500); Nascimento, Fernanda (58800050100); Santiago, Anderson Gabriel (55203344300)","58805661500; 58800050100; 55203344300","On Hyperparameters Tuning for Deep Learning Segmentation Models Applied to COVID-19 Computerized Tomography Images","2024","IFMBE Proceedings","99","","","61","71","10","0","10.1007/978-3-031-49404-8_7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181979151&doi=10.1007%2f978-3-031-49404-8_7&partnerID=40&md5=5888ab6b7716c4dea2578fade6e0b80d","Conference paper","Final","","Scopus","2-s2.0-85181979151"
"Rorabaugh A.K.; Caíno-Lores S.; Johnston T.; Taufer M.","Rorabaugh, Ariel Keller (57217255308); Caíno-Lores, Silvina (56465064500); Johnston, Travis (57217653351); Taufer, Michela (9734576100)","57217255308; 56465064500; 57217653351; 9734576100","High frequency accuracy and loss data of random neural networks trained on image datasets","2022","Data in Brief","40","","107780","","","","4","10.1016/j.dib.2021.107780","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122537777&doi=10.1016%2fj.dib.2021.107780&partnerID=40&md5=a4b3f51c7185e64be753640777ccaac8","Data paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85122537777"
"Oktavian G.M.; Santoso H.","Oktavian, Grady Matthias (58657373100); Santoso, Handri (58988419200)","58657373100; 58988419200","Improving accuracy of multi-class image classification using ensemble learning of convolutional neural networks","2024","AIP Conference Proceedings","3070","1","030010","","","","0","10.1063/5.0207151","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190535736&doi=10.1063%2f5.0207151&partnerID=40&md5=606c5ee4a6d292fce3e1c8ac03f88d76","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85190535736"
"Rahat I.S.; Ghosh H.; Ramesh J.V.N.; Kiran A.; Verma P.","Rahat, Irfan Sadiq (58613785800); Ghosh, Hritwik (58613938700); Ramesh, Janjhyam Venkata Naga (59253432200); Kiran, Ajmeera (57203283005); Verma, Poonam (59068593800)","58613785800; 58613938700; 59253432200; 57203283005; 59068593800","Cassava Syndrome Scan a Pioneering Deep Learning System for Accurate Cassava Leaf Disease Classification","2024","Communications in Computer and Information Science","2047 CCIS","","","111","123","12","5","10.1007/978-3-031-55486-5_9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188743544&doi=10.1007%2f978-3-031-55486-5_9&partnerID=40&md5=ce2e10ae00e91a6a7a6b6447a988e768","Conference paper","Final","","Scopus","2-s2.0-85188743544"
"Bhatti M.A.; Syam M.S.; Chen H.; Hu Y.; Keung L.W.; Zeeshan Z.; Ali Y.A.; Sarhan N.","Bhatti, Mughair Aslam (57217055773); Syam, M.S. (55839535200); Chen, Huafeng (56068412400); Hu, Yurong (57213689634); Keung, Li Wai (59135114600); Zeeshan, Zeeshan (56520165100); Ali, Yasser A. (58260435700); Sarhan, Nadia (58486356400)","57217055773; 55839535200; 56068412400; 57213689634; 59135114600; 56520165100; 58260435700; 58486356400","Utilizing convolutional neural networks (CNN) and U-Net architecture for precise crop and weed segmentation in agricultural imagery: A deep learning approach","2024","Big Data Research","36","","100465","","","","4","10.1016/j.bdr.2024.100465","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193631535&doi=10.1016%2fj.bdr.2024.100465&partnerID=40&md5=ae5d6a7d06f0cf7278aab4e4584183a1","Article","Final","","Scopus","2-s2.0-85193631535"
"Di X.","Di, Xingyu (58139562400)","58139562400","Optimization and Application of a Deep Learning-Based Multi-Class Retinal Vessel Segmentation Model","2024","Proceedings - 2024 International Conference on Computing, Robotics and System Sciences, ICRSS 2024","","","","244","252","8","0","10.1109/ICRSS65752.2024.00050","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218424585&doi=10.1109%2fICRSS65752.2024.00050&partnerID=40&md5=e33c2aad91bf130b02ac7c009ce85721","Conference paper","Final","","Scopus","2-s2.0-85218424585"
"Patinge S.; Ponde K.; Pokar J.; Gadgile V.; Raut M.; Philips N.","Patinge, Sayali (57751635000); Ponde, Kshitija (59000100100); Pokar, Jaykumar (59000097000); Gadgile, Vaishnavi (59000086800); Raut, Maithili (59000106600); Philips, Nestor (59301868800)","57751635000; 59000100100; 59000097000; 59000086800; 59000106600; 59301868800","Exploring Pre-Trained CNN Models for Classification of Melanoma","2024","Proceedings - 2024 International Conference on Expert Clouds and Applications, ICOECA 2024","","","","1000","1005","5","0","10.1109/ICOECA62351.2024.00174","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202349926&doi=10.1109%2fICOECA62351.2024.00174&partnerID=40&md5=70259fb55b439a0f670544a1ef0d8d86","Conference paper","Final","","Scopus","2-s2.0-85202349926"
"Jongjaraunsuk R.; Taparhudee W.; Sirisuay S.; Kaewnern M.; Dulyapurk V.; Janekitkarn S.","Jongjaraunsuk, Roongparit (57224359502); Taparhudee, Wara (14827526300); Sirisuay, Soranuth (55888725100); Kaewnern, Methee (57207965516); Dulyapurk, Varunthat (58956899100); Janekitkarn, Sommai (16241252800)","57224359502; 14827526300; 55888725100; 57207965516; 58956899100; 16241252800","Transfer Learning Model Application for Rastrelliger brachysoma and R. kanagurta Image Classification Using Smartphone-Captured Images","2024","Fishes","9","3","103","","","","1","10.3390/fishes9030103","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188671172&doi=10.3390%2ffishes9030103&partnerID=40&md5=ec74a10603d13b8beb973cba6ca75f5b","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85188671172"
