"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Maiti N.; Chawla R.; Quraishi A.; Soni M.; Rusho M.A.; Pande S.D.","Maiti, Niladri (57215721580); Chawla, Riddhi (57702146800); Quraishi, Aadam (58970508200); Soni, Mukesh (57202986134); Rusho, Maher Ali (59126288100); Pande, Sagar Dhanraj (57213160540)","57215721580; 57702146800; 58970508200; 57202986134; 59126288100; 57213160540","Generative Intelligence-Based Federated Learning Model for Brain Tumor Classification in Smart Health","2024","Generative Artificial Intelligence for Biomedical and Smart Health Informatics","","","","435","453","18","0","10.1002/9781394280735.ch22","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216007519&doi=10.1002%2f9781394280735.ch22&partnerID=40&md5=90e8b9a35dbff231bb236bd3147daf13","Book chapter","Final","","Scopus","2-s2.0-85216007519"
"Chen K.; Guan H.; Lei X.; Cao S.","Chen, Ke (58492109000); Guan, Haiyan (48260990900); Lei, Xiangda (57220548664); Cao, Shuang (54785876600)","58492109000; 48260990900; 57220548664; 54785876600","A Multispectral LiDAR Point Cloud Classification Method based on Enhanced Features Kernel Point Convolutional Network; [基于特征增强核点卷积网络的多光谱 LiDAR 点云分类方法]","2023","Journal of Geo-Information Science","25","5","","1075","1087","12","4","10.12082/dqxxkx.2023.220736","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165064717&doi=10.12082%2fdqxxkx.2023.220736&partnerID=40&md5=fdc208a7e21cf1a3fca0dbff2d9410b8","Article","Final","","Scopus","2-s2.0-85165064717"
"Murugesan B.; Liu B.; Galdran A.; Ayed I.B.; Dolz J.","Murugesan, Balamurali (57203838554); Liu, Bingyuan (57223910012); Galdran, Adrian (56451007600); Ayed, Ismail Ben (55663476500); Dolz, Jose (56578010400)","57203838554; 57223910012; 56451007600; 55663476500; 56578010400","Calibrating segmentation networks with margin-based label smoothing","2023","Medical Image Analysis","87","","102826","","","","15","10.1016/j.media.2023.102826","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85154033725&doi=10.1016%2fj.media.2023.102826&partnerID=40&md5=cdbcbad71ce04f1eebc7f5550052c550","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85154033725"
"Anitha R.; Prabakaran P.","Anitha, R. (57192104713); Prabakaran, P. (58823990900)","57192104713; 58823990900","Vehicle Detection and Classification based on C-DSO Dataset using YOLO v3 with SRBD Method for Intelligent Transportation Applications","2023","2023 3rd International Conference on Advances in Electrical, Computing, Communication and Sustainable Technologies, ICAECT 2023","","","","","","","2","10.1109/ICAECT57570.2023.10117923","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160401675&doi=10.1109%2fICAECT57570.2023.10117923&partnerID=40&md5=467a233f238f8dac949d4bd5d0618386","Conference paper","Final","","Scopus","2-s2.0-85160401675"
"Pornvoraphat P.; Tiankanon K.; Pittayanon R.; Sunthornwetchapong P.; Vateekul P.; Rerknimitr R.","Pornvoraphat, Passin (58110077500); Tiankanon, Kasenee (57217862044); Pittayanon, Rapat (26538052600); Sunthornwetchapong, Phanukorn (58110030600); Vateekul, Peerapon (24829867400); Rerknimitr, Rungsun (6603607086)","58110077500; 57217862044; 26538052600; 58110030600; 24829867400; 6603607086","Real-time gastric intestinal metaplasia diagnosis tailored for bias and noisy-labeled data with multiple endoscopic imaging","2023","Computers in Biology and Medicine","154","","106582","","","","12","10.1016/j.compbiomed.2023.106582","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148479310&doi=10.1016%2fj.compbiomed.2023.106582&partnerID=40&md5=5c1e2c399d105085462eae1ec01288c1","Article","Final","","Scopus","2-s2.0-85148479310"
"Yao J.; Guo Z.; Yu W.","Yao, Jun (57907870300); Guo, Zhilin (57907472600); Yu, Wei (57908066000)","57907870300; 57907472600; 57908066000","Enhanced deep residual network for bone classification and abnormality detection","2022","Medical Physics","49","11","","6914","6929","15","4","10.1002/mp.15966","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138759202&doi=10.1002%2fmp.15966&partnerID=40&md5=31d8851219d644b1f87e858343ebbd99","Article","Final","","Scopus","2-s2.0-85138759202"
"Li X.; Zhang M.; Guo H.","Li, Xin (57205503391); Zhang, Meiling (59279286000); Guo, Hubo (59281365500)","57205503391; 59279286000; 59281365500","Dual-Path Fault Diagnosis of Small Sample for Mechanical Systems Based on Multiple Attention Mechanisms","2024","IEEE Access","12","","","114538","114551","13","0","10.1109/ACCESS.2024.3444828","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201612720&doi=10.1109%2fACCESS.2024.3444828&partnerID=40&md5=c48b44c5f415fccbaaa3b7168e1e659d","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85201612720"
"Huang H.; Liu Y.; Xiong Q.; Xing Y.; Du H.","Huang, Hong (57845176500); Liu, Yong (57194542795); Xiong, Qiuju (55758750500); Xing, Yuanxiu (36635097800); Du, Honglei (58498345000)","57845176500; 57194542795; 55758750500; 36635097800; 58498345000","A fatty liver diseases classification network based on adaptive coordination attention with label smoothing","2023","Biomedical Signal Processing and Control","86","","105267","","","","2","10.1016/j.bspc.2023.105267","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165360375&doi=10.1016%2fj.bspc.2023.105267&partnerID=40&md5=14789bc47be1afd533c0cefe8c56686d","Article","Final","","Scopus","2-s2.0-85165360375"
"Lee M.S.; Han S.W.","Lee, Min Seok (57271968800); Han, Sung Won (55487857400)","57271968800; 55487857400","DuETNet: Dual Encoder based Transfer Network for thoracic disease classification","2022","Pattern Recognition Letters","161","","","143","153","10","3","10.1016/j.patrec.2022.08.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136478713&doi=10.1016%2fj.patrec.2022.08.007&partnerID=40&md5=b7789871b65f1c2b567bdd6b2f2668ba","Article","Final","","Scopus","2-s2.0-85136478713"
"Shang C.; Zhao H.; Wang M.; Wang X.; Jiang Y.; Gao Q.","Shang, Cheng (57219555083); Zhao, Hongke (57218277654); Wang, MeiLi (55694491200); Wang, XiaoLong (55808034000); Jiang, Yu (55733627100); Gao, Qiang (57228348700)","57219555083; 57218277654; 55694491200; 55808034000; 55733627100; 57228348700","Individual identification of cashmere goats via method of fusion of multiple optimization","2023","Computer Animation and Virtual Worlds","34","2","e2048","","","","4","10.1002/cav.2048","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129172836&doi=10.1002%2fcav.2048&partnerID=40&md5=b80a14a3e172f89fb967557969478968","Article","Final","","Scopus","2-s2.0-85129172836"
