"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"He J.; Zhou J.; Gan J.; Wu D.; Wen X.","He, Jiabei (57224678422); Zhou, Juxiang (59471663600); Gan, Jianhou (59471741500); Wu, Di (57215311640); Wen, Xiaoyu (58193150000)","57224678422; 59471663600; 59471741500; 57215311640; 58193150000","Classroom Expression Classification Model Based on Multitask Learning; [基于多任务学习的课堂表情分类模型]","2024","Yingyong Kexue Xuebao/Journal of Applied Sciences","42","6","","947","961","14","0","10.3969/j.issn.0255-8297.2024.06.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211996864&doi=10.3969%2fj.issn.0255-8297.2024.06.005&partnerID=40&md5=4e57d959a72556a62a8345c55bcec4dc","Article","Final","","Scopus","2-s2.0-85211996864"
"He T.; Chang H.; Gao R.; Wang F.; Guo D.","He, Ting (59541370100); Chang, Huan (57193324273); Gao, Ran (57769851400); Wang, Fei (57579814000); Guo, Dong (57200534715)","59541370100; 57193324273; 57769851400; 57579814000; 57200534715","Optical performance monitoring of mode division multiplexing signal based on multi-task convolutional neural network","2025","Proceedings of SPIE - The International Society for Optical Engineering","13520","","135200M","","","","0","10.1117/12.3057047","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216904468&doi=10.1117%2f12.3057047&partnerID=40&md5=3809a3beb55a6044de9e151418981ee7","Conference paper","Final","","Scopus","2-s2.0-85216904468"
"Xie Y.; Zhang Y.; Long J.; Que N.; Chen Y.","Xie, Yining (55759398400); Zhang, Yuhang (59069870400); Long, Jun (57354161200); Que, Nanshuang (59360278700); Chen, Yu (56294834900)","55759398400; 59069870400; 57354161200; 59360278700; 56294834900","MPLNet: Multi-task supervised progressive learning network for diabetic retinopathy grading","2024","Computers and Electrical Engineering","120","","109746","","","","0","10.1016/j.compeleceng.2024.109746","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205934907&doi=10.1016%2fj.compeleceng.2024.109746&partnerID=40&md5=e7e2c408d3288ff2a713173898d701ef","Article","Final","","Scopus","2-s2.0-85205934907"
"Choudhary P.S.; Sharma L.N.; Dandapat S.","Choudhary, Pharvesh Salman (57221394138); Sharma, L.N. (15924087400); Dandapat, Samarendra (15922221700)","57221394138; 15924087400; 15922221700","Joint Detection of Rhythmic and Morphological Abnormalities in Electrocardiographic Images: A Multitask Learning Approach","2025","IEEE Transactions on Artificial Intelligence","","","","","","","0","10.1109/TAI.2025.3530383","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215616218&doi=10.1109%2fTAI.2025.3530383&partnerID=40&md5=7b5fbbebb6c80610dba270c7e7225f37","Article","Article in press","","Scopus","2-s2.0-85215616218"
"Shen Y.; Chen L.; Liu J.; Chen H.; Wang C.; Ding H.; Zhang Q.","Shen, Yiwen (59308178600); Chen, Li (59508959300); Liu, Jieyi (58306968300); Chen, Haobo (57221315054); Wang, Changyan (58092112200); Ding, Hong (36058714900); Zhang, Qi (56841055400)","59308178600; 59508959300; 58306968300; 57221315054; 58092112200; 36058714900; 56841055400","PADS-Net: GAN-based radiomics using multi-task network of denoising and segmentation for ultrasonic diagnosis of Parkinson disease","2025","Computerized Medical Imaging and Graphics","120","","102490","","","","0","10.1016/j.compmedimag.2024.102490","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214664321&doi=10.1016%2fj.compmedimag.2024.102490&partnerID=40&md5=be14a78a43ac154be902b4199eb79fdf","Article","Final","","Scopus","2-s2.0-85214664321"
"Chen Q.; Wang L.; Deng Z.; Wang R.; Wang L.; Jian C.; Zhu Y.-M.","Chen, Qijian (57217281161); Wang, Lihui (57141686200); Deng, Zeyu (57217278537); Wang, Rongpin (24476635900); Wang, Li (57196334126); Jian, Caiqing (57221147744); Zhu, Yue-Min (55629946300)","57217281161; 57141686200; 57217278537; 24476635900; 57196334126; 57221147744; 55629946300","Cooperative multi-task learning and interpretable image biomarkers for glioma grading and molecular subtyping","2025","Medical Image Analysis","101","","103435","","","","0","10.1016/j.media.2024.103435","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214300710&doi=10.1016%2fj.media.2024.103435&partnerID=40&md5=ecd0270b85768cdc1c0f8d7a952d3367","Article","Final","","Scopus","2-s2.0-85214300710"
"Xu Y.; Lu X.; Gao T.; Meng R.","Xu, Yonghui (24067909500); Lu, Xiang (58650911400); Gao, Tianyu (57211568031); Meng, Ruotong (57222094131)","24067909500; 58650911400; 57211568031; 57222094131","A Self-Supervised Multiview Contrastive Learning Network for the Fault Diagnosis of Rotating Machinery Under Limited Annotation Information","2025","IEEE Transactions on Instrumentation and Measurement","74","","3505813","","","","0","10.1109/TIM.2025.3527612","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214839416&doi=10.1109%2fTIM.2025.3527612&partnerID=40&md5=d021adb6928d48c1f8ff67338070aade","Article","Final","","Scopus","2-s2.0-85214839416"
"Karkalousos D.; Išgum I.; Marquering H.A.; Caan M.W.A.","Karkalousos, Dimitrios (57219584221); Išgum, Ivana (6507874503); Marquering, Henk A. (8674123800); Caan, Matthan W.A. (55908175900)","57219584221; 6507874503; 8674123800; 55908175900","ATOMMIC: An Advanced Toolbox for Multitask Medical Imaging Consistency to facilitate Artificial Intelligence applications from acquisition to analysis in Magnetic Resonance Imaging","2024","Computer Methods and Programs in Biomedicine","256","","108377","","","","0","10.1016/j.cmpb.2024.108377","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201769467&doi=10.1016%2fj.cmpb.2024.108377&partnerID=40&md5=4853000aa90108866324cbce0a057902","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85201769467"
"Jiang X.; Li M.; Li W.; Li Y.; Wang R.; Chen H.; Gao Z.","Jiang, Xiaojing (59505785200); Li, Mengyu (57224306505); Li, Wei (59446701300); Li, Yuanzong (59329663600); Wang, Ruiqi (57392163100); Chen, Hanqing (57810897100); Gao, Zhongke (24921442300)","59505785200; 57224306505; 59446701300; 59329663600; 57392163100; 57810897100; 24921442300","A multi-task learning model with feature separation constraint for parameter prediction of gas-liquid two-phase flow","2025","Measurement Science and Technology","36","2","025301","","","","0","10.1088/1361-6501/ada1e8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214519745&doi=10.1088%2f1361-6501%2fada1e8&partnerID=40&md5=e12dd8a483f01d2f5960281716661dc9","Article","Final","","Scopus","2-s2.0-85214519745"
"Zhang S.; Wu S.; Chen L.; Guo P.; Jiang X.; Pan H.; Li Y.","Zhang, Shenlan (59425352600); Wu, Shaojie (58508719900); Chen, Liqiang (58509214700); Guo, Pengxin (58620307100); Jiang, Xincheng (58509705400); Pan, Hongcheng (40561481800); Li, Yuhong (59425812900)","59425352600; 58508719900; 58509214700; 58620307100; 58509705400; 40561481800; 59425812900","Multi-Task Water Quality Colorimetric Detection Method Based on Deep Learning","2024","Sensors","24","22","7345","","","","0","10.3390/s24227345","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210241619&doi=10.3390%2fs24227345&partnerID=40&md5=1a30d4dadd1b7e5b003a7a4702038341","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85210241619"
