"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Alabboud M.; Kalantari S.; Soltani F.","Alabboud, Michael (57217147066); Kalantari, Siamak (26635201000); Soltani, Forouzandeh (15760858400)","57217147066; 26635201000; 15760858400","Novel models to predict stored melon fruit marketability using convolutional neural networks","2023","Journal of Ambient Intelligence and Humanized Computing","14","9","","11863","11871","8","2","10.1007/s12652-022-03741-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125545159&doi=10.1007%2fs12652-022-03741-z&partnerID=40&md5=0c6fcdb6b9904fabf0c4c48eb07a36c8","Article","Final","","Scopus","2-s2.0-85125545159"
"Jia X.; Feng X.; Yong H.; Meng D.","Jia, Xixi (56108670600); Feng, Xiangchu (7403047090); Yong, Hongwei (57191072490); Meng, Deyu (23393058400)","56108670600; 7403047090; 57191072490; 23393058400","Weight Decay With Tailored Adam on Scale-Invariant Weights for Better Generalization","2024","IEEE Transactions on Neural Networks and Learning Systems","35","5","","6936","6947","11","11","10.1109/TNNLS.2022.3213536","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141537961&doi=10.1109%2fTNNLS.2022.3213536&partnerID=40&md5=5a0f86ada5cf17ef386eda1af009142d","Article","Final","","Scopus","2-s2.0-85141537961"
"Naralasetti V.; Shaik R.K.; Katepalli G.; Bodapati J.D.","Naralasetti, Veeranjaneyulu (56195255000); Shaik, Reshmi Khadherbhi (57226506591); Katepalli, Gayatri (57216287971); Bodapati, Jyostna Devi (57209269087)","56195255000; 57226506591; 57216287971; 57209269087","Deep learning models for Pneumonia identification and classification based on X-ray images","2021","Traitement du Signal","38","3","","903","909","6","12","10.18280/ts.380337","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111748355&doi=10.18280%2fts.380337&partnerID=40&md5=e2ef161eadb380b6ab79097424db63e3","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85111748355"
"Ullah S.; Kim D.-H.","Ullah, Shan (56689451100); Kim, Deok-Hwan (35317979300)","56689451100; 35317979300","Federated Learning convergence on IID features via optimized local model parameters","2022","Proceedings - 2022 IEEE International Conference on Big Data and Smart Computing, BigComp 2022","","","","92","95","3","3","10.1109/BigComp54360.2022.00028","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127538926&doi=10.1109%2fBigComp54360.2022.00028&partnerID=40&md5=d8b9dd12949613399dfe73d567f001d8","Conference paper","Final","","Scopus","2-s2.0-85127538926"
"Nishida K.; Taiji M.","Nishida, Keigo (57353938500); Taiji, Makoto (7003890233)","57353938500; 7003890233","AdamB: Decoupled Bayes by Backprop With Gaussian Scale Mixture Prior","2022","IEEE Access","10","","","92959","92970","11","1","10.1109/ACCESS.2022.3203484","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137585633&doi=10.1109%2fACCESS.2022.3203484&partnerID=40&md5=e94d2ce8a8d431ffdf17db0e5abcccc5","Article","Final","","Scopus","2-s2.0-85137585633"
"Hoang N.-D.","Hoang, Nhat-Duc (53063830000)","53063830000","Automatic Impervious Surface Area Detection Using Image Texture Analysis and Neural Computing Models with Advanced Optimizers","2021","Computational Intelligence and Neuroscience","2021","","8820116","","","","12","10.1155/2021/8820116","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102080923&doi=10.1155%2f2021%2f8820116&partnerID=40&md5=a19eb75e754da1a53b77fea7d4a0ea2e","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85102080923"
"Kumari N.; Minz S.","Kumari, Neha (58130670800); Minz, Sonajharia (17435286600)","58130670800; 17435286600","Land Use Land Cover Scene classification with Focal Loss optimization of Convolutional Networks using Sentinel-2 EuroSAT Dataset","2022","43rd Asian Conference on Remote Sensing, ACRS 2022","","","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149434215&partnerID=40&md5=d80d6a7135f5cfa291debaa29742b639","Conference paper","Final","","Scopus","2-s2.0-85149434215"
"Giménez-Gallego J.; González-Teruel J.D.; Jiménez-Buendía M.; Toledo-Moreo A.B.; Soto-Valles F.; Torres-Sánchez R.","Giménez-Gallego, Jaime (57214683192); González-Teruel, Juan D. (57205576871); Jiménez-Buendía, Manuel (56411934400); Toledo-Moreo, Ana B. (8839375000); Soto-Valles, Fulgencio (57226011031); Torres-Sánchez, Roque (57210898401)","57214683192; 57205576871; 56411934400; 8839375000; 57226011031; 57210898401","Segmentation of multiple tree leaves pictures with natural backgrounds using deep learning for image-based agriculture applications","2020","Applied Sciences (Switzerland)","10","1","202","","","","34","10.3390/app10010202","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078921592&doi=10.3390%2fapp10010202&partnerID=40&md5=e33bbb5f7ed192153fa9be6f71869deb","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85078921592"
"ZIv Y.; Goldberger J.; Riklin Raviv T.","ZIv, Yael (56966360500); Goldberger, Jacob (7005511043); Riklin Raviv, Tammy (14039601200)","56966360500; 7005511043; 14039601200","Stochastic weight pruning and the role of regularization in shaping network structure","2021","Neurocomputing","462","","","555","567","12","4","10.1016/j.neucom.2021.08.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113274103&doi=10.1016%2fj.neucom.2021.08.007&partnerID=40&md5=35d80132f08129bf82b9eaa2b347c082","Article","Final","","Scopus","2-s2.0-85113274103"
"Mei H.; Shang H.; Su P.; Liu Y.","Mei, Huawei (35757971300); Shang, Honglin (58519233200); Su, Pan (55507687000); Liu, Yanping (58519301200)","35757971300; 58519233200; 55507687000; 58519301200","Optic disc and cup segmentation with combined residual context encoding and path augmentation; [融合残差上下文编码和路径增强的视杯视盘分割]","2024","Journal of Image and Graphics","29","3","","637","654","17","0","10.11834/jig.230140","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188354646&doi=10.11834%2fjig.230140&partnerID=40&md5=19a70cecf2dc32436e307d46e5cfc7b4","Article","Final","","Scopus","2-s2.0-85188354646"
"Bano I.; Wicaksana Putra R.V.; Marchisio A.; Shafique M.","Bano, Iqra (59006256600); Wicaksana Putra, Rachmad Vidya (57274968800); Marchisio, Alberto (57204639484); Shafique, Muhammad (17435669500)","59006256600; 57274968800; 57204639484; 17435669500","A Methodology to Study the Impact of Spiking Neural Network Parameters Considering Event-Based Automotive Data","2024","2024 18th International Conference on Control, Automation, Robotics and Vision, ICARCV 2024","","","","897","903","6","0","10.1109/ICARCV63323.2024.10821503","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217423398&doi=10.1109%2fICARCV63323.2024.10821503&partnerID=40&md5=811b7b9840cfbf246dc77da46f805278","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85217423398"
"He L.; Jianjun L.; Liang X.","He, Li (59455766600); Jianjun, Liu (59456245300); Liang, Xiao (57215721983)","59455766600; 59456245300; 57215721983","Dual-encoder global-local cross-attention network for medical image segmentation; [融合交叉注意力与双编码器的医学图像分割]","2024","Journal of Image and Graphics","29","11","","3462","3475","13","0","10.11834/jig.230705","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210907516&doi=10.11834%2fjig.230705&partnerID=40&md5=5aad40baffc960566ce5d4339141eba5","Article","Final","","Scopus","2-s2.0-85210907516"
"Milne T.","Milne, Tristan (57198860850)","57198860850","Piecewise strong convexity of neural networks","2019","Advances in Neural Information Processing Systems","32","","","","","","10","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090173236&partnerID=40&md5=82abe7d2714dc626da4ca50e80bd3415","Conference paper","Final","","Scopus","2-s2.0-85090173236"
"Yu J.; Du S.; Xin Z.; Huang L.; Zhao J.","Yu, Jun (57305942600); Du, Shizhou (54784372400); Xin, Zhenghua (50662070800); Huang, Linsheng (55285756500); Zhao, Jinling (54381195300)","57305942600; 54784372400; 50662070800; 55285756500; 54381195300","Application of a convolutional neural network to land use classification based on GF-2 remote sensing imagery","2021","Arabian Journal of Geosciences","14","21","2194","","","","5","10.1007/s12517-021-08555-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117708677&doi=10.1007%2fs12517-021-08555-5&partnerID=40&md5=c5023722f8f7fb4e4aba1671930a3d4e","Article","Final","","Scopus","2-s2.0-85117708677"
"Parashar A.K.; Kumar B.","Parashar, Anuj Kumar (58833242800); Kumar, Bambam (57809258000)","58833242800; 57809258000","Detection of artificial spots in fundus images using modified U-Net based semantic segmentation","2024","Computers and Electrical Engineering","120","","109719","","","","0","10.1016/j.compeleceng.2024.109719","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205261905&doi=10.1016%2fj.compeleceng.2024.109719&partnerID=40&md5=4b67738fafb8c94d971be0ce138f7b57","Article","Final","","Scopus","2-s2.0-85205261905"
"Shen H.; Li H.","Shen, Huihui (57204773358); Li, Hongwei (57189378868)","57204773358; 57189378868","A gradient approximation algorithm based weight momentum for restricted Boltzmann machine","2019","Neurocomputing","361","","","40","49","9","9","10.1016/j.neucom.2019.07.074","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070111823&doi=10.1016%2fj.neucom.2019.07.074&partnerID=40&md5=771429dec2c2643990ec25609f7e6717","Article","Final","","Scopus","2-s2.0-85070111823"
"Lin P.; Li X.L.; Chen Y.M.; He Y.","Lin, P. (36141210300); Li, X.L. (27172329000); Chen, Y.M. (55721090400); He, Y. (36079131500)","36141210300; 27172329000; 55721090400; 36079131500","A Deep Convolutional Neural Network Architecture for Boosting Image Discrimination Accuracy of Rice Species","2018","Food and Bioprocess Technology","11","4","","765","773","8","73","10.1007/s11947-017-2050-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039986129&doi=10.1007%2fs11947-017-2050-9&partnerID=40&md5=30e14597d8cb243c576fa5a643d47ca2","Article","Final","","Scopus","2-s2.0-85039986129"
