"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Balu R.; Pradeep R.","Balu, R. (59262391100); Pradeep, R. (57449811800)","59262391100; 57449811800","Enhancing Anomaly Detection in Sensor Time Series Data using Machine Learning Model Optimization","2024","International Conference on Advancements in Power, Communication and Intelligent Systems, APCI 2024","","","","","","","0","10.1109/APCI61480.2024.10616619","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201406233&doi=10.1109%2fAPCI61480.2024.10616619&partnerID=40&md5=78d972f9ab8604bd146f07659a383bb2","Conference paper","Final","","Scopus","2-s2.0-85201406233"
"Cruz-Victoria J.C.; Netzahuatl-Muñoz A.R.; Cristiani-Urbina E.","Cruz-Victoria, Juan Crescenciano (10739229200); Netzahuatl-Muñoz, Alma Rosa (6504509076); Cristiani-Urbina, Eliseo (6506900456)","10739229200; 6504509076; 6506900456","Long Short-Term Memory and Bidirectional Long Short-Term Memory Modeling and Prediction of Hexavalent and Total Chromium Removal Capacity Kinetics of Cupressus lusitanica Bark","2024","Sustainability (Switzerland) ","16","7","2874","","","","2","10.3390/su16072874","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190367116&doi=10.3390%2fsu16072874&partnerID=40&md5=4e0c7905bb4d35df795c0272370f4a5a","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85190367116"
"Karahasan O.; Bas E.; Egrioglu E.","Karahasan, Ozlem (57311973100); Bas, Eren (55927757900); Egrioglu, Erol (23093703600)","57311973100; 55927757900; 23093703600","New deep recurrent hybrid artificial neural network for forecasting seasonal time series","2024","Granular Computing","9","1","19","","","","4","10.1007/s41066-023-00445-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181849053&doi=10.1007%2fs41066-023-00445-3&partnerID=40&md5=6e56b77bb18f700c3af6ff77ee589c1f","Article","Final","","Scopus","2-s2.0-85181849053"
"Bibaud-Alves J.; Thomas P.; El Haouzi H.B.","Bibaud-Alves, Julie (57205210219); Thomas, Philippe (55584799619); El Haouzi, Hind Bril (23481482200)","57205210219; 55584799619; 23481482200","Demand forecasting using artificial neuronal networks and time series: Application to a French furniture manufacturer case study","2019","IJCCI 2019 - Proceedings of the 11th International Joint Conference on Computational Intelligence","","","","502","507","5","9","10.5220/0008356705020507","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074253642&doi=10.5220%2f0008356705020507&partnerID=40&md5=f32a29a5efaf81f350eb0ad5432db6f3","Conference paper","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85074253642"
"Raidoo R.; Laubscher R.","Raidoo, Renita (57265352200); Laubscher, Ryno (55845287300)","57265352200; 55845287300","Data-driven forecasting with model uncertainty of utility-scale air-cooled condenser performance using ensemble encoder-decoder mixture-density recurrent neural networks","2022","Energy","238","","122030","","","","6","10.1016/j.energy.2021.122030","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115204320&doi=10.1016%2fj.energy.2021.122030&partnerID=40&md5=c0bd2d755a498f864d42fec83bc92060","Article","Final","","Scopus","2-s2.0-85115204320"
"Cao W.","Cao, Wei (57223257776)","57223257776","Research on Financial Data Prediction Algorithm Based on Deep Learning","2021","Proceedings - 2021 Asia-Pacific Conference on Communications Technology and Computer Science, ACCTCS 2021","","","9407633","89","91","2","1","10.1109/ACCTCS52002.2021.00026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105370319&doi=10.1109%2fACCTCS52002.2021.00026&partnerID=40&md5=14ae28bfabc1f4ff2fe64ba295756b3b","Conference paper","Final","","Scopus","2-s2.0-85105370319"
"Li M.; Zheng K.; Zhao Y.; Wang Y.; Zhao H.; Ding L.","Li, Mingxin (57656376200); Zheng, Kunyuan (58162265900); Zhao, Yuan (55726064700); Wang, Yongjian (59453170100); Zhao, Hui (57203183049); Ding, Lei (56395903700)","57656376200; 58162265900; 55726064700; 59453170100; 57203183049; 56395903700","LSTnet-GRU-A: Traffic Flow Forecasting Based on Attention Mechanism","2022","Proceedings - 2022 Chinese Automation Congress, CAC 2022","2022-January","","","6487","6492","5","1","10.1109/CAC57257.2022.10055816","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151128383&doi=10.1109%2fCAC57257.2022.10055816&partnerID=40&md5=497191bacf29bdbf1e86eff0ce2a5d3e","Conference paper","Final","","Scopus","2-s2.0-85151128383"
"López-Ruiz S.; Hernández-Castellanos C.I.; Rodríguez-Vázquez K.","López-Ruiz, Samuel (57826140900); Hernández-Castellanos, Carlos Ignacio (57190253793); Rodríguez-Vázquez, Katya (55993765800)","57826140900; 57190253793; 55993765800","Multi-objective optimization of neural network with stochastic directed search[Formula presented]","2024","Expert Systems with Applications","237","","121535","","","","4","10.1016/j.eswa.2023.121535","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172251729&doi=10.1016%2fj.eswa.2023.121535&partnerID=40&md5=4ea346a2554e105708edff68c4f50b38","Article","Final","","Scopus","2-s2.0-85172251729"
"Xu J.; Liu J.; Yu S.; Xu K.; Zhang T.","Xu, Jinchang (57898709400); Liu, Jiabin (57868922900); Yu, Shuangfei (57222328557); Xu, Kun (54584606300); Zhang, Tao (57222010012)","57898709400; 57868922900; 57222328557; 54584606300; 57222010012","Real-time temperature prediction of lunar regolith drilling based on ATT-Bi-LSTM network","2024","International Journal of Heat and Mass Transfer","218","","124783","","","","2","10.1016/j.ijheatmasstransfer.2023.124783","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173666139&doi=10.1016%2fj.ijheatmasstransfer.2023.124783&partnerID=40&md5=b65ac9a7e18882dbccacc746e07e76fa","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85173666139"
"Alnaji L.","Alnaji, Lulah (58142363800)","58142363800","A comprehensive analysis of the artificial neural networks model for predicting monkeypox outbreaks","2024","Heliyon","10","17","e37274","","","","0","10.1016/j.heliyon.2024.e37274","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203016732&doi=10.1016%2fj.heliyon.2024.e37274&partnerID=40&md5=6f3360b2c79b925da6b9f256bb2d4a3c","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85203016732"
"Zhang X.; Li C.; Chen K.-L.; Chrysostomou D.; Yang H.","Zhang, Xiaochun (55565400500); Li, Chen (57192578646); Chen, Kuan-Lin (57211921619); Chrysostomou, Dimitrios (24477398900); Yang, Hongji (35070638900)","55565400500; 57192578646; 57211921619; 24477398900; 35070638900","Stock Prediction with Stacked-LSTM Neural Networks","2021","Proceedings - 2021 21st International Conference on Software Quality, Reliability and Security Companion, QRS-C 2021","","","","1119","1125","6","5","10.1109/QRS-C55045.2021.00166","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140873800&doi=10.1109%2fQRS-C55045.2021.00166&partnerID=40&md5=8953a7fd2e9ef5163dc1278a3dd28e5a","Conference paper","Final","","Scopus","2-s2.0-85140873800"
