"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Huang M.; Ai Q.","Huang, Mei (59384430900); Ai, Qian (8704400400)","59384430900; 8704400400","Multi-task learning load time series situational prediction based on gated recurrent neural networks considering spatial correlations","2024","Frontiers in Energy Research","12","","1476613","","","","0","10.3389/fenrg.2024.1476613","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216486248&doi=10.3389%2ffenrg.2024.1476613&partnerID=40&md5=858c2bb1c740344ab160d52137ad7ea7","Article","Final","","Scopus","2-s2.0-85216486248"
"Wu S.; Peng D.","Wu, Shiling (57644250100); Peng, Dunlu (8556510900)","57644250100; 8556510900","Pre-SMATS: A multi-task learning based prediction model for small multi-stage seasonal time series","2022","Expert Systems with Applications","201","","117121","","","","9","10.1016/j.eswa.2022.117121","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128942582&doi=10.1016%2fj.eswa.2022.117121&partnerID=40&md5=084d0072c1f82054f8dcecf440567608","Article","Final","","Scopus","2-s2.0-85128942582"
"Liang W.; Zhang K.; Cao P.; Liu X.; Yang J.; Zaiane O.","Liang, Wei (59045214000); Zhang, Kai (57307411800); Cao, Peng (59438413100); Liu, Xiaoli (57190119226); Yang, Jinzhu (14829817400); Zaiane, Osmar (6602849837)","59045214000; 57307411800; 59438413100; 57190119226; 14829817400; 6602849837","Rethinking modeling Alzheimer's disease progression from a multi-task learning perspective with deep recurrent neural network","2021","Computers in Biology and Medicine","138","","104935","","","","27","10.1016/j.compbiomed.2021.104935","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117153572&doi=10.1016%2fj.compbiomed.2021.104935&partnerID=40&md5=ecdce97e94920c072d2efacfcc876455","Article","Final","","Scopus","2-s2.0-85117153572"
"Zhang Z.; Xie F.; Zhao X.; Zhou B.; Chen J.; Tian L.","Zhang, Zhong (57258488300); Xie, Feng (57869151400); Zhao, Xuechen (57868819000); Zhou, Bin (55501961000); Chen, Jian (57223440980); Tian, Lei (57933740600)","57258488300; 57869151400; 57868819000; 55501961000; 57223440980; 57933740600","Multitask Learning Neural Networks for Pandemic Prediction with Public Stance Enhancement","2022","Proceedings - International Conference on Tools with Artificial Intelligence, ICTAI","2022-October","","","1262","1270","8","1","10.1109/ICTAI56018.2022.00191","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85156089787&doi=10.1109%2fICTAI56018.2022.00191&partnerID=40&md5=141cd817598d8de626c246153efa2d70","Conference paper","Final","","Scopus","2-s2.0-85156089787"
"Cheng J.; Huang K.; Zheng Z.","Cheng, Jiezhu (57219584963); Huang, Kaizhu (13403476100); Zheng, Zibin (25224189400)","57219584963; 13403476100; 25224189400","Fitting Imbalanced Uncertainties in Multi-output Time Series Forecasting","2023","ACM Transactions on Knowledge Discovery from Data","17","7","102","","","","1","10.1145/3584704","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164280448&doi=10.1145%2f3584704&partnerID=40&md5=6fa8b9763fdbbcd0d8397a7ad085f094","Article","Final","","Scopus","2-s2.0-85164280448"
"Chi C.-Y.; Ao S.; Winkler A.; Fu K.-C.; Xu J.; Ho Y.-L.; Huang C.-H.; Soltani R.","Chi, Chien-Yu (57216705595); Ao, Shuang (57270119500); Winkler, Adrian (57270423600); Fu, Kuan-Chun (57270576900); Xu, Jie (57269963300); Ho, Yi-Lwun (7402554868); Huang, Chien-Hua (36063485900); Soltani, Rohollah (57219587079)","57216705595; 57270119500; 57270423600; 57270576900; 57269963300; 7402554868; 36063485900; 57219587079","Predicting the mortality and readmission of in-hospital cardiac arrest patients with electronic health records:a machine learning approach","2021","Journal of Medical Internet Research","23","9","e27798","","","","10","10.2196/27798","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115635242&doi=10.2196%2f27798&partnerID=40&md5=8121696ae32268479e4059789705eedc","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85115635242"
"","","","9th China Health Information Processing Conference, CHIP 2023","2024","Communications in Computer and Information Science","1993 CCIS","","","","","430","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186647964&partnerID=40&md5=260914bfd3d71ab837e01a09a54622db","Conference review","Final","","Scopus","2-s2.0-85186647964"
"Yan S.; Yao X.; Sun J.; Huang W.; Yang L.; Zhang C.; Gao B.; Yang J.; Yun W.; Zhu D.","Yan, Shuai (57214758758); Yao, Xiaochuang (56085211600); Sun, Jialin (58619445200); Huang, Weiming (57199323799); Yang, Longshan (57192695556); Zhang, Chao (56401277900); Gao, Bingbo (36246121200); Yang, Jianyu (57056765100); Yun, Wenju (8406695200); Zhu, Dehai (8903358300)","57214758758; 56085211600; 58619445200; 57199323799; 57192695556; 56401277900; 36246121200; 57056765100; 8406695200; 8903358300","TSANet: A deep learning framework for the delineation of agricultural fields utilizing satellite image time series","2024","Computers and Electronics in Agriculture","220","","108902","","","","4","10.1016/j.compag.2024.108902","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189936289&doi=10.1016%2fj.compag.2024.108902&partnerID=40&md5=353ff1580b575e2a74279f751cab18f5","Article","Final","","Scopus","2-s2.0-85189936289"
"Chen D.; Zang H.; Liu J.; Wei Z.; Sun G.; Li X.","Chen, Dianhao (57226285766); Zang, Haixiang (56870889000); Liu, Jingxuan (58179623000); Wei, Zhinong (7402258961); Sun, Guoqiang (9236400000); Li, Xinxin (58815427700)","57226285766; 56870889000; 58179623000; 7402258961; 9236400000; 58815427700","Multi-step Prediction of Photovoltaic Power Based on Multi-view Features Extraction and Multi-task Learning; [基于多视角特征提取与多任务学习的光伏功率多步预测]","2024","Gaodianya Jishu/High Voltage Engineering","50","9","","3924","3933","9","1","10.13336/j.1003-6520.hve.20232392","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205978452&doi=10.13336%2fj.1003-6520.hve.20232392&partnerID=40&md5=4010d924cc8bd78e0659e8a5e4fe59c9","Article","Final","","Scopus","2-s2.0-85205978452"
"Kim G.; Lim H.; Kim Y.; Kwon O.; Choi J.-H.","Kim, Gihyeon (57880759100); Lim, Heeryung (58072410100); Kim, Yunsoo (57205578025); Kwon, Oran (55713470100); Choi, Jang-Hwan (55850525400)","57880759100; 58072410100; 57205578025; 55713470100; 55850525400","Intra-person multi-task learning method for chronic-disease prediction","2023","Scientific Reports","13","1","1069","","","","4","10.1038/s41598-023-28383-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146603326&doi=10.1038%2fs41598-023-28383-9&partnerID=40&md5=93bc1c1e0acc4a70331fbaf0d3119ad5","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85146603326"
