"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Mori H.; Takahashi M.","Mori, H. (54942001600); Takahashi, M. (55512883300)","54942001600; 55512883300","Development of GRBFN with global structure for PV generation output forecasting","2012","IEEE Power and Energy Society General Meeting","","","6345673","","","","11","10.1109/PESGM.2012.6345673","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870597300&doi=10.1109%2fPESGM.2012.6345673&partnerID=40&md5=7cdfe9b9d170eb7bb970d38b489f35dd","Conference paper","Final","","Scopus","2-s2.0-84870597300"
"Ookura S.; Mori H.","Ookura, Soichiro (57223142812); Mori, Hiroyuki (54942001600)","57223142812; 54942001600","An efficient method for wind power generation forecasting by LSTM in consideration of overfitting prevention","2020","IFAC-PapersOnLine","53","2","","12169","12174","5","20","10.1016/j.ifacol.2020.12.1008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105079496&doi=10.1016%2fj.ifacol.2020.12.1008&partnerID=40&md5=13f756868d178d3bfa84aa9b911b884b","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85105079496"
"Takahashi M.; Mori H.","Takahashi, Masato (55512883300); Mori, Hiroyuki (54942001600)","55512883300; 54942001600","A GRBFN-EPSO-based method for predicting pv generation output","2013","IEEJ Transactions on Power and Energy","133","1","","72","78","6","6","10.1541/ieejpes.133.72","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873881492&doi=10.1541%2fieejpes.133.72&partnerID=40&md5=be9aceb2ca826103281cf3dd9ab2095a","Conference paper","Final","","Scopus","2-s2.0-84873881492"
"Fan Q.; Zhou L.; Zurada J.M.; Peng J.; Li H.; Wang J.; Yang D.","Fan, Qinwei (55938391400); Zhou, Li (57656955100); Zurada, Jacek M. (35593077400); Peng, Jigen (55644435600); Li, Haiyang (57196359703); Wang, Jian (37076174200); Yang, Dakun (55567161400)","55938391400; 57656955100; 35593077400; 55644435600; 57196359703; 37076174200; 55567161400","Convergence Analysis of Regularized Elman Neural Networks Under Relaxed Conditions","2024","IEEE Transactions on Systems, Man, and Cybernetics: Systems","","","","","","","0","10.1109/TSMC.2024.3486764","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209371112&doi=10.1109%2fTSMC.2024.3486764&partnerID=40&md5=d16d5af26f31b50ea14662bad2512e1c","Article","Article in press","","Scopus","2-s2.0-85209371112"
"Mahdi A.; Hussain A.J.; Lisbo P.; Al-Jumeily D.","Mahdi, Asmaa (35318233000); Hussain, Abir Jaafar (56212648400); Lisbo, Paulo (35753373800); Al-Jumeily, Dhiya (57382902800)","35318233000; 56212648400; 35753373800; 57382902800","The application of the neural network model inspired by the immune system in financial time series prediction","2009","Proceedings - International Conference on Developments in eSystems Engineering, DeSE 2009","","","5395148","370","376","6","10","10.1109/DeSE.2009.39","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77949629762&doi=10.1109%2fDeSE.2009.39&partnerID=40&md5=5c93eb2815c31a11a75809a3d6aa8e4f","Conference paper","Final","","Scopus","2-s2.0-77949629762"
"Goutte C.","Goutte, Cyril (55883876300)","55883876300","Sélection de paramètres par pénalisation L1","2001","Revue d'Intelligence Artificielle","15","3-4","","333","350","17","0","10.3166/ria.15.333-350","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0041908402&doi=10.3166%2fria.15.333-350&partnerID=40&md5=896a50900513aea325ffec82ef866f18","Article","Final","","Scopus","2-s2.0-0041908402"
"Manikandan S.; Nagaraj B.","Manikandan, S. (57526133400); Nagaraj, B. (57454300600)","57526133400; 57454300600","Hyperparameter Tuned Bidirectional Gated Recurrent Neural Network for Weather Forecasting","2022","Intelligent Automation and Soft Computing","33","2","","761","775","14","2","10.32604/iasc.2022.023398","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124667692&doi=10.32604%2fiasc.2022.023398&partnerID=40&md5=60f6daa7ff36b22131c3a9ab0d7a6b69","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85124667692"
"Ding H.","Ding, Hao (57215528184)","57215528184","TNFRM: A recommendation model based on temporal interest fluctuation with neural networks and fuzzy clustering","2023","Applied Intelligence","53","21","","25042","25057","15","0","10.1007/s10489-023-04776-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166530716&doi=10.1007%2fs10489-023-04776-1&partnerID=40&md5=dc91db06ca1184e93dbd46ef5080e900","Article","Final","","Scopus","2-s2.0-85166530716"
"Ruan S.; Han S.; Zhang N.; Gu Q.; Lu C.","Ruan, Shunling (53878458600); Han, Simiao (58108119500); Zhang, Ningning (58684229700); Gu, Qinghua (35291976500); Lu, Caiwu (35148313200)","53878458600; 58108119500; 58684229700; 35291976500; 35148313200","Prediction method of saturation line of tailings dam based on CNN-aGRU fusion mode; [基于 CNN-aGRU 融合模型的尾矿坝浸润线预测方法]","2023","China Safety Science Journal","33","","","119","127","8","2","10.16265/j.cnki.issn1003-3033.2023.S1.2481","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175984425&doi=10.16265%2fj.cnki.issn1003-3033.2023.S1.2481&partnerID=40&md5=e110605bb8a6fadbeb7ca7976f31b459","Article","Final","","Scopus","2-s2.0-85175984425"
"Sun H.; Fung J.C.H.; Chen Y.; Li Z.; Yuan D.; Chen W.; Lu X.","Sun, Haochen (57279963800); Fung, Jimmy C. H. (7203073307); Chen, Yiang (57204363894); Li, Zhenning (57188693618); Yuan, Dehao (57219043772); Chen, Wanying (57221685909); Lu, Xingcheng (57005719700)","57279963800; 7203073307; 57204363894; 57188693618; 57219043772; 57221685909; 57005719700","Development of an LSTM broadcasting deep-learning framework for regional air pollution forecast improvement","2022","Geoscientific Model Development","15","22","","8439","8452","13","3","10.5194/gmd-15-8439-2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143395520&doi=10.5194%2fgmd-15-8439-2022&partnerID=40&md5=eef6d307f3bbf6993c5b26452de1037a","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85143395520"
"Park J.-G.; Jo S.","Park, Jung-Guk (57190884359); Jo, Sungho (36922784600)","57190884359; 36922784600","Approximate Bayesian MLP regularization for regression in the presence of noise","2016","Neural Networks","83","","","75","85","10","28","10.1016/j.neunet.2016.07.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983781027&doi=10.1016%2fj.neunet.2016.07.010&partnerID=40&md5=6f69e2c2cbbf729f27b2fb403c79a03f","Article","Final","","Scopus","2-s2.0-84983781027"
"Jingjing Z.","Jingjing, Zhou (55212745400)","55212745400","Priors for time series forecasting","2013","Applied Mechanics and Materials","263-266","PART 1","","171","174","3","1","10.4028/www.scientific.net/AMM.263-266.171","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872473284&doi=10.4028%2fwww.scientific.net%2fAMM.263-266.171&partnerID=40&md5=2174137a172f13e5cecebfd6652a3e5c","Conference paper","Final","","Scopus","2-s2.0-84872473284"
"","","","Emerging Intelligent Computing Technology and Applications - 8th International Conference, ICIC 2012, Proceedings","2012","Communications in Computer and Information Science","304 CCIS","","","","","532","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865023496&partnerID=40&md5=d761f8fdb5f6f5862e3019d7d7bc9583","Conference review","Final","","Scopus","2-s2.0-84865023496"
